,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,notepad,ApplicationFrameHost.exe,133354238150000000,133354238151000000,4,1,0,0,1
1,notepad,ApplicationFrameHost.exe,133354238217000000,133354238218000000,4,0,0,1,0
2,notepad,ApplicationFrameHost.exe,133354238257000000,133354238258000000,1,0,0,1,1
3,notepad,ApplicationFrameHost.exe,133354238288000000,133354238289000000,4,0,0,1,2
4,notepad,ApplicationFrameHost.exe,133354238289000000,133354238290000000,7,2,0,3,1
5,notepad,ApplicationFrameHost.exe,133354238407000000,133354238408000000,5,1,0,2,0
6,notepad,ApplicationFrameHost.exe,133354238441000000,133354238442000000,2,0,0,0,0
7,notepad,ApplicationFrameHost.exe,133354238557000000,133354238558000000,1,0,0,0,0
8,notepad,ApplicationFrameHost.exe,133354238707000000,133354238708000000,2,0,0,1,0
9,notepad,ApplicationFrameHost.exe,133354239075000000,133354239076000000,0,0,0,1,0
10,notepad,ApplicationFrameHost.exe,133354239147000000,133354239148000000,26,7,1,6,0
11,notepad,ApplicationFrameHost.exe,133354239669000000,133354239670000000,3,0,0,1,1
12,notepad,ApplicationFrameHost.exe,133354239817000000,133354239818000000,3,1,1,0,0
13,notepad,ApplicationFrameHost.exe,133354240807000000,133354240808000000,22,6,1,5,2
14,notepad,ApplicationFrameHost.exe,133354241827000000,133354241828000000,2,0,0,2,0
15,notepad,ApplicationFrameHost.exe,133354242108000000,133354242109000000,24,7,1,5,0
16,notepad,DeviceCensus.exe,133354239099000000,133354239100000000,1428,314,10,19,6
17,notepad,DeviceCensus.exe,133354239100000000,133354239101000000,2221,479,22,70,10
18,notepad,DeviceCensus.exe,133354239103000000,133354239104000000,67,15,1,3,2
19,notepad,DeviceCensus.exe,133354239105000000,133354239106000000,9,2,0,1,0
20,notepad,DeviceCensus.exe,133354239108000000,133354239109000000,1035,218,5,26,8
21,notepad,DeviceCensus.exe,133354239111000000,133354239112000000,3470,743,31,125,26
22,notepad,DeviceCensus.exe,133354239112000000,133354239113000000,3627,805,27,81,16
23,notepad,DeviceCensus.exe,133354239113000000,133354239114000000,4383,962,31,180,35
24,notepad,DeviceCensus.exe,133354239116000000,133354239117000000,44,7,0,1,0
25,notepad,DeviceCensus.exe,133354239117000000,133354239118000000,1018,198,5,11,5
26,notepad,DeviceCensus.exe,133354239119000000,133354239120000000,556,116,3,28,4
27,notepad,DeviceCensus.exe,133354239120000000,133354239121000000,1629,352,21,78,13
28,notepad,DeviceCensus.exe,133354239121000000,133354239122000000,2184,492,22,86,13
29,notepad,DeviceCensus.exe,133354239122000000,133354239123000000,5994,1272,39,123,23
30,notepad,DeviceCensus.exe,133354239125000000,133354239126000000,7624,1636,35,94,21
31,notepad,DeviceCensus.exe,133354239128000000,133354239129000000,5763,1227,23,46,16
32,notepad,DeviceCensus.exe,133354239129000000,133354239130000000,1790,384,10,33,7
33,notepad,DeviceCensus.exe,133354239131000000,133354239132000000,88,15,0,4,0
34,notepad,DeviceCensus.exe,133354239132000000,133354239133000000,8034,1705,35,79,24
35,notepad,DeviceCensus.exe,133354239135000000,133354239136000000,6494,1377,23,51,23
36,notepad,DeviceCensus.exe,133354239136000000,133354239137000000,1545,332,9,28,6
37,notepad,DeviceCensus.exe,133354239138000000,133354239139000000,97,20,2,4,1
38,notepad,DeviceCensus.exe,133354239139000000,133354239140000000,6890,1476,30,75,21
39,notepad,DeviceCensus.exe,133354239140000000,133354239141000000,0,1,0,0,0
40,notepad,DeviceCensus.exe,133354239142000000,133354239143000000,5073,1078,25,80,19
41,notepad,DeviceCensus.exe,133354239143000000,133354239144000000,277,64,3,12,5
42,notepad,GameBar.exe,133354238600000000,133354238601000000,667,150,6,16,7
43,notepad,GameBar.exe,133354238601000000,133354238602000000,8293,1800,66,255,57
44,notepad,GameBar.exe,133354238602000000,133354238603000000,5697,1239,63,224,61
45,notepad,Idle,133354238114000000,133354238115000000,34,14,0,1,2
46,notepad,Idle,133354238115000000,133354238116000000,108,20,3,29,3
47,notepad,Idle,133354238116000000,133354238117000000,1865,466,3,3,2
48,notepad,Idle,133354238117000000,133354238118000000,18,4,1,7,0
49,notepad,Idle,133354238118000000,133354238119000000,16,5,1,4,1
50,notepad,Idle,133354238119000000,133354238120000000,4,2,0,2,0
51,notepad,Idle,133354238120000000,133354238121000000,8,2,0,2,0
52,notepad,Idle,133354238121000000,133354238122000000,5085,1271,10,4,2
53,notepad,Idle,133354238122000000,133354238123000000,2086,520,4,2,2
54,notepad,Idle,133354238123000000,133354238124000000,22,9,0,8,3
55,notepad,Idle,133354238124000000,133354238125000000,15,5,1,2,2
56,notepad,Idle,133354238125000000,133354238126000000,5,1,0,3,1
57,notepad,Idle,133354238126000000,133354238127000000,10,1,1,2,1
58,notepad,Idle,133354238127000000,133354238128000000,9,2,0,3,1
59,notepad,Idle,133354238128000000,133354238129000000,55,13,2,15,1
60,notepad,Idle,133354238129000000,133354238130000000,10,3,1,2,2
61,notepad,Idle,133354238130000000,133354238131000000,7,1,0,2,1
62,notepad,Idle,133354238131000000,133354238132000000,12,3,0,1,1
63,notepad,Idle,133354238132000000,133354238133000000,1023,256,2,2,1
64,notepad,Idle,133354238133000000,133354238134000000,39,7,0,9,1
65,notepad,Idle,133354238134000000,133354238135000000,270,60,2,23,4
66,notepad,Idle,133354238135000000,133354238136000000,27,4,0,4,2
67,notepad,Idle,133354238136000000,133354238137000000,39,8,1,13,4
68,notepad,Idle,133354238137000000,133354238138000000,3811,952,7,6,1
69,notepad,Idle,133354238138000000,133354238139000000,54,9,3,14,4
70,notepad,Idle,133354238139000000,133354238140000000,54,15,3,19,6
71,notepad,Idle,133354238140000000,133354238141000000,18,5,3,10,2
72,notepad,Idle,133354238141000000,133354238142000000,44,9,2,12,1
73,notepad,Idle,133354238142000000,133354238143000000,845,212,2,12,3
74,notepad,Idle,133354238143000000,133354238144000000,24,7,1,2,1
75,notepad,Idle,133354238144000000,133354238145000000,9,3,0,2,1
76,notepad,Idle,133354238145000000,133354238146000000,172,47,3,43,1
77,notepad,Idle,133354238146000000,133354238147000000,400,89,5,25,1
78,notepad,Idle,133354238147000000,133354238148000000,439,102,5,18,1
79,notepad,Idle,133354238148000000,133354238149000000,114,27,1,21,2
80,notepad,Idle,133354238149000000,133354238150000000,268,65,3,28,5
81,notepad,Idle,133354238150000000,133354238151000000,454,102,4,36,3
82,notepad,Idle,133354238151000000,133354238152000000,275,61,4,36,2
83,notepad,Idle,133354238152000000,133354238153000000,254,55,3,35,0
84,notepad,Idle,133354238153000000,133354238154000000,151,43,4,20,5
85,notepad,Idle,133354238154000000,133354238155000000,104,27,1,20,1
86,notepad,Idle,133354238155000000,133354238156000000,44,10,0,16,1
87,notepad,Idle,133354238156000000,133354238157000000,60,9,2,16,4
88,notepad,Idle,133354238157000000,133354238158000000,12,2,1,4,0
