,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818699000000,133496818700000000,7964,1800,7,13,2
1,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818700000000,133496818701000000,8587,1954,5,4,0
2,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818701000000,133496818702000000,8443,1923,4,4,1
3,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818702000000,133496818703000000,8515,1939,5,1,1
4,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818703000000,133496818704000000,8946,2036,5,1,0
5,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818704000000,133496818705000000,8553,1945,5,1,1
6,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818705000000,133496818706000000,8840,2013,6,0,0
7,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818706000000,133496818707000000,8738,1989,5,1,0
8,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818707000000,133496818708000000,8762,1995,5,1,1
9,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818708000000,133496818709000000,7979,1813,5,5,0
10,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818709000000,133496818710000000,8916,2030,7,5,0
11,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818710000000,133496818711000000,9043,2058,5,3,1
12,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818711000000,133496818712000000,8835,2011,6,0,0
13,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818712000000,133496818713000000,8556,1948,6,1,1
14,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818713000000,133496818714000000,8652,1969,6,1,0
15,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818714000000,133496818715000000,8793,2001,6,0,0
16,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818715000000,133496818716000000,8947,2036,6,0,0
17,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818716000000,133496818717000000,8860,2017,6,0,1
18,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818717000000,133496818718000000,9077,2065,5,1,0
19,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818718000000,133496818719000000,6387,1009,27,7,3
20,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818719000000,133496818720000000,4032,429,38,5,2
21,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818720000000,133496818721000000,2035,386,8,43,12
22,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818721000000,133496818722000000,202,44,3,9,3
23,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549.exe,133496818750000000,133496818751000000,368,61,2,7,2
24,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819255000000,133496819256000000,17,4,0,1,0
25,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819256000000,133496819257000000,4040,1090,13,65,10
26,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819257000000,133496819258000000,356,75,3,11,2
27,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819360000000,133496819361000000,951,183,8,42,9
28,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819361000000,133496819362000000,55,11,0,6,0
29,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819362000000,133496819363000000,16,5,0,4,0
30,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819556000000,133496819557000000,1,0,0,0,0
31,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819660000000,133496819661000000,4,1,0,2,0
32,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819662000000,133496819663000000,0,0,0,1,0
33,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496819856000000,133496819857000000,0,2,0,0,1
34,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496820597000000,133496820598000000,3,0,0,1,0
35,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496821267000000,133496821268000000,1,0,0,0,1
36,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,ApplicationFrameHost.exe,133496822256000000,133496822257000000,4,0,0,1,0
37,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820157000000,133496820158000000,250,54,2,6,2
38,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820158000000,133496820159000000,827,171,5,24,6
39,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820159000000,133496820160000000,600,115,5,21,3
40,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820165000000,133496820166000000,418,88,1,12,3
41,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820167000000,133496820168000000,16,4,0,1,0
42,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820428000000,133496820429000000,54,11,2,4,0
43,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820457000000,133496820458000000,5,1,0,0,0
44,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820460000000,133496820461000000,1,0,0,0,0
45,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820478000000,133496820479000000,95,17,0,7,1
46,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820480000000,133496820481000000,2,1,0,0,0
47,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820565000000,133496820566000000,1,0,0,0,0
48,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820743000000,133496820744000000,41,8,1,3,0
49,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820757000000,133496820758000000,1,0,0,0,0
50,008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,CompatTelRunner.exe,133496820758000000,133496820759000000,1,0,0,1,0
