,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e.exe,133498779854000000,133498779855000000,546,116,4,10,2
1,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e.exe,133498779855000000,133498779856000000,267,74,3,5,2
2,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e.exe,133498779856000000,133498779857000000,200,37,1,6,7
3,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e.exe,133498779857000000,133498779858000000,1283,294,6,30,18
4,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e.exe,133498779858000000,133498779859000000,98,21,1,4,0
5,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780002000000,133498780003000000,2203,462,13,68,13
6,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780003000000,133498780004000000,362,71,4,14,4
7,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780117000000,133498780118000000,1,1,0,0,0
8,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780139000000,133498780140000000,4,2,0,0,0
9,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780154000000,133498780155000000,7,2,0,0,0
10,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780302000000,133498780303000000,2,2,0,0,0
11,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780303000000,133498780304000000,2,0,0,0,0
12,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498780602000000,133498780603000000,1,0,0,0,0
13,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498781302000000,133498781303000000,1151,246,11,48,7
14,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498781305000000,133498781306000000,45,10,1,3,0
15,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498781307000000,133498781308000000,17,2,0,1,1
16,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498781602000000,133498781603000000,2,2,0,0,0
17,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498781607000000,133498781608000000,2,0,0,1,0
18,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498782012000000,133498782013000000,1,0,0,0,0
19,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498782569000000,133498782570000000,1,0,0,0,1
20,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498782682000000,133498782683000000,3,0,0,0,0
21,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498782869000000,133498782870000000,2,1,0,0,1
22,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,ApplicationFrameHost.exe,133498783002000000,133498783003000000,4,2,0,0,2
23,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779857000000,133498779858000000,552,119,3,11,3
24,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779858000000,133498779859000000,607,157,5,13,3
25,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779859000000,133498779860000000,28,5,0,3,2
26,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779860000000,133498779861000000,2,1,0,0,0
27,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779862000000,133498779863000000,200,44,2,10,2
28,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779868000000,133498779869000000,5,1,0,0,0
29,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779869000000,133498779870000000,0,1,0,0,0
30,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779879000000,133498779880000000,4,0,1,0,0
31,0531b05812a9f1b6576bfb7ca309aa7f04f323af8c5604766132b4386539e71e,BYwUkQIc.exe,133498779885000000,133498779886000000,1,0,0,0,0
