,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792.exe,133499175490000000,133499175491000000,693,152,5,16,0
1,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792.exe,133499175491000000,133499175492000000,149,45,2,2,1
2,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792.exe,133499175493000000,133499175494000000,1510,333,6,32,19
3,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792.exe,133499175494000000,133499175495000000,131,30,3,6,3
4,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175514000000,133499175515000000,559,118,4,16,2
5,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175515000000,133499175516000000,1915,399,22,78,16
6,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175620000000,133499175621000000,931,184,12,44,7
7,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175621000000,133499175622000000,57,13,0,4,0
8,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175622000000,133499175623000000,17,4,0,3,1
9,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175814000000,133499175815000000,1,0,0,0,0
10,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175920000000,133499175921000000,1,0,0,0,0
11,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175922000000,133499175923000000,3,0,0,0,1
12,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175943000000,133499175944000000,6,1,0,1,0
13,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499175958000000,133499175959000000,1,0,0,0,0
14,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499176114000000,133499176115000000,1,0,0,1,0
15,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499176265000000,133499176266000000,0,0,0,0,1
16,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499176854000000,133499176855000000,4,1,0,0,0
17,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499177141000000,133499177142000000,257,67,2,7,3
18,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499177441000000,133499177442000000,1,1,0,1,0
19,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499178194000000,133499178195000000,3,0,0,0,0
20,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499178408000000,133499178409000000,1,0,0,0,0
21,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499178514000000,133499178515000000,2,0,0,2,0
22,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,ApplicationFrameHost.exe,133499178515000000,133499178516000000,4,0,0,0,0
23,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175493000000,133499175494000000,722,146,5,13,1
24,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175494000000,133499175495000000,51,11,1,2,0
25,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175496000000,133499175497000000,319,85,3,10,4
26,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175499000000,133499175500000000,1,0,0,0,0
27,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175501000000,133499175502000000,217,76,2,1,0
28,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175506000000,133499175507000000,5,1,0,1,0
29,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175516000000,133499175517000000,3,1,0,0,0
30,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175526000000,133499175527000000,4,0,0,1,1
31,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175531000000,133499175532000000,286,100,3,0,0
32,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175536000000,133499175537000000,3,1,0,0,1
33,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175542000000,133499175543000000,1,0,0,0,0
34,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175546000000,133499175547000000,6,2,0,1,0
35,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175556000000,133499175557000000,2,0,0,1,0
36,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175557000000,133499175558000000,4,1,0,0,0
37,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175566000000,133499175567000000,288,101,3,1,0
38,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175567000000,133499175568000000,4,1,0,0,0
39,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175577000000,133499175578000000,6,1,0,1,0
40,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175578000000,133499175579000000,1,0,0,0,0
41,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175587000000,133499175588000000,7,0,0,1,0
42,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175596000000,133499175597000000,286,100,2,0,0
43,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175597000000,133499175598000000,7,0,0,2,0
44,075c4804b993549419128378857e9fcbb4953ce0112ffa3b77b9a80f728dc792,BYwUkQIc.exe,133499175607000000,133499175608000000,8,2,0,0,1
