,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837741000000,133496837742000000,854,179,6,18,4
1,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837742000000,133496837743000000,2929,264,0,5,0
2,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837743000000,133496837744000000,3049,267,1,1,0
3,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837744000000,133496837745000000,3080,270,1,0,0
4,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837745000000,133496837746000000,4963,858,28,27,7
5,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496837746000000,133496837747000000,4256,813,39,32,9
6,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496838046000000,133496838047000000,4,1,0,0,0
7,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496838215000000,133496838216000000,1,1,0,0,0
8,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496839085000000,133496839086000000,1,0,0,0,0
9,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496839086000000,133496839087000000,0,0,0,2,1
10,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86.exe,133496839547000000,133496839548000000,44,7,0,1,1
11,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496838996000000,133496838997000000,1267,264,10,46,10
12,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496838997000000,133496838998000000,1149,231,7,43,5
13,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839196000000,133496839197000000,959,189,10,58,6
14,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839197000000,133496839198000000,61,14,1,8,0
15,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839198000000,133496839199000000,16,4,1,2,0
16,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839296000000,133496839297000000,1,0,0,0,0
17,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839496000000,133496839497000000,4,1,0,0,0
18,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839498000000,133496839499000000,0,0,0,1,1
19,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839596000000,133496839597000000,1,1,0,0,0
20,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839630000000,133496839631000000,1,0,0,1,0
21,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496839896000000,133496839897000000,1,0,0,0,0
22,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496840263000000,133496840264000000,1,0,0,0,0
23,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496840336000000,133496840337000000,3,2,0,0,0
24,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496840897000000,133496840898000000,1,0,0,0,0
25,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496841006000000,133496841007000000,1,1,0,0,0
26,0a77fc85a49ed22e8a829c57253cffff4af89a690cec2125ebdb53be09f64e86,ApplicationFrameHost.exe,133496841197000000,133496841198000000,3,1,0,0,0
