,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712.exe,133496857882000000,133496857883000000,442,141,1,7,3
1,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712.exe,133496857883000000,133496857884000000,6123,1157,64,24,5
2,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712.exe,133496857884000000,133496857885000000,467,84,5,12,3
3,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496857953000000,133496857954000000,516,111,3,13,1
4,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496857954000000,133496857955000000,1912,385,15,70,13
5,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496858253000000,133496858254000000,1,0,0,0,0
6,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496858254000000,133496858255000000,2,0,0,1,0
7,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496858356000000,133496858357000000,1,0,0,0,0
8,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496858587000000,133496858588000000,1,0,0,0,0
9,0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,ApplicationFrameHost.exe,133496859238000000,133496859239000000,112,24,2,11,2
