,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783000000000,133346783001000000,520,121,6,21,3
1,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783001000000,133346783002000000,15902,2952,45,102,31
2,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783002000000,133346783003000000,19174,3485,42,46,17
3,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783003000000,133346783004000000,17651,3228,38,48,22
4,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783004000000,133346783005000000,16828,3063,35,44,26
5,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783005000000,133346783006000000,17365,3126,32,42,22
6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783006000000,133346783007000000,18766,3396,37,48,21
7,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783007000000,133346783008000000,17986,3234,39,60,20
8,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783008000000,133346783009000000,18635,3390,40,47,14
9,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783009000000,133346783010000000,18625,3408,39,44,12
10,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783010000000,133346783011000000,18916,3417,37,46,17
11,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783011000000,133346783012000000,17961,3239,36,43,19
12,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783012000000,133346783013000000,18056,3258,35,43,12
13,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783013000000,133346783014000000,18143,3297,39,57,17
14,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783014000000,133346783015000000,17535,3177,37,41,11
15,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783015000000,133346783016000000,18050,3292,40,46,24
16,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783016000000,133346783017000000,17156,3118,34,48,19
17,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783017000000,133346783018000000,16974,3054,33,44,21
18,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783018000000,133346783019000000,18943,3425,35,44,14
19,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783019000000,133346783020000000,18728,3409,41,56,17
20,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783020000000,133346783021000000,19641,3560,42,44,11
21,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783021000000,133346783022000000,17584,3213,38,45,12
22,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783022000000,133346783023000000,18166,3274,36,42,13
23,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783023000000,133346783024000000,18019,3247,34,42,13
24,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783024000000,133346783025000000,15474,2821,33,51,16
25,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783025000000,133346783026000000,12748,2316,28,54,22
26,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783026000000,133346783027000000,12913,2347,30,48,19
27,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783027000000,133346783028000000,13452,2444,31,43,19
28,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783028000000,133346783029000000,14217,2753,29,47,19
29,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783029000000,133346783030000000,17334,3131,34,42,15
30,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783030000000,133346783031000000,17364,3137,33,43,17
31,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783031000000,133346783032000000,17451,3168,33,46,18
32,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783032000000,133346783033000000,18177,3302,41,55,14
33,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783033000000,133346783034000000,17417,3156,37,41,10
34,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783034000000,133346783035000000,18069,3313,38,45,16
35,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783035000000,133346783036000000,18889,3398,36,42,15
36,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783036000000,133346783037000000,16418,2965,32,46,25
37,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783037000000,133346783038000000,17254,3120,34,45,18
38,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783038000000,133346783039000000,17707,3212,38,43,11
39,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783039000000,133346783040000000,19055,3452,42,43,13
40,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783040000000,133346783041000000,18060,3299,36,47,13
41,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783041000000,133346783042000000,19060,3429,37,43,15
42,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783042000000,133346783043000000,16690,3134,33,45,15
43,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783043000000,133346783044000000,12904,2354,31,57,24
44,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783044000000,133346783045000000,13585,2459,30,42,22
45,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783045000000,133346783046000000,15038,2733,33,44,21
46,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783046000000,133346783047000000,16887,3093,36,44,21
47,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783047000000,133346783048000000,17060,3079,33,44,22
48,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783048000000,133346783049000000,18415,3315,36,46,17
49,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783049000000,133346783050000000,17817,3228,37,55,23
50,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783050000000,133346783051000000,16364,2973,34,51,22
51,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783051000000,133346783052000000,14869,2688,33,39,19
52,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783052000000,133346783053000000,13799,2518,30,41,20
53,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783053000000,133346783054000000,16083,2921,32,46,19
54,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6,1390-2c649b7ff537c0b72a244bfa1688594bb3ff426b23bb147e0544b6bad7b8b7b6.exe,133346783054000000,133346783055000000,16647,3008,33,42,17
