,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897505000000,133496897506000000,807,146,5,25,2
1,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897507000000,133496897508000000,38,7,0,0,0
2,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897518000000,133496897519000000,2041,568,14,15,4
3,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897520000000,133496897521000000,547,121,4,23,5
4,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897521000000,133496897522000000,888,172,2,13,3
5,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097.exe,133496897522000000,133496897523000000,1756,376,14,51,8
6,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897576000000,133496897577000000,19,4,0,1,1
7,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897577000000,133496897578000000,2151,439,20,72,17
8,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897578000000,133496897579000000,293,59,1,10,1
9,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897591000000,133496897592000000,83,16,1,5,1
10,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897877000000,133496897878000000,2,0,0,1,1
11,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897878000000,133496897879000000,1,0,0,0,0
12,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897891000000,133496897892000000,1,1,0,0,0
13,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496897982000000,133496897983000000,1,0,0,0,0
14,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898261000000,133496898262000000,958,197,8,50,8
15,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898262000000,133496898263000000,52,11,0,4,0
16,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898263000000,133496898264000000,15,4,0,4,1
17,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898327000000,133496898328000000,1,0,0,0,0
18,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898561000000,133496898562000000,1,0,0,1,0
19,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898563000000,133496898564000000,3,0,0,1,0
20,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898832000000,133496898833000000,168,32,1,11,2
21,2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133496898927000000,133496898928000000,0,0,0,0,1
