,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017684000000,133497017685000000,617,135,4,20,4
1,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017685000000,133497017686000000,2055,487,12,41,7
2,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017686000000,133497017687000000,1819,427,10,40,7
3,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017687000000,133497017688000000,1986,463,16,42,8
4,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017688000000,133497017689000000,1567,328,15,48,10
5,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017689000000,133497017690000000,6496,1013,10,15,8
6,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017690000000,133497017691000000,9789,989,5,15,6
7,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017691000000,133497017692000000,7982,1268,10,6,3
8,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017692000000,133497017693000000,8187,1327,10,10,4
9,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017693000000,133497017694000000,8388,1352,10,8,3
10,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017694000000,133497017695000000,8507,1267,9,8,6
11,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017695000000,133497017696000000,8996,1191,7,10,6
12,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017696000000,133497017697000000,9329,937,4,12,7
13,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017697000000,133497017698000000,9270,1073,6,11,7
14,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017698000000,133497017699000000,9074,1306,10,9,3
15,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017699000000,133497017700000000,9557,1094,6,17,8
16,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017700000000,133497017701000000,6821,1015,7,7,4
17,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017701000000,133497017702000000,8825,1145,7,8,3
18,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017702000000,133497017703000000,8750,1296,9,11,7
19,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017703000000,133497017704000000,9153,1305,10,8,4
20,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017704000000,133497017705000000,8575,1336,8,10,5
21,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017705000000,133497017706000000,9101,1017,6,7,2
22,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017706000000,133497017707000000,9112,1241,8,13,7
23,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017707000000,133497017708000000,8446,979,4,11,5
24,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017708000000,133497017709000000,8786,1183,9,13,8
25,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc.exe,133497017709000000,133497017710000000,9053,1113,7,12,6
