,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027676000000,133497027677000000,1017,226,13,24,7
1,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027677000000,133497027678000000,975,219,3,19,4
2,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027678000000,133497027679000000,745,156,4,11,1
3,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027679000000,133497027680000000,1395,313,9,22,3
4,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027680000000,133497027681000000,215,41,1,6,1
5,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027681000000,133497027682000000,190,39,0,3,1
6,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027682000000,133497027683000000,184,40,0,2,2
7,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027683000000,133497027684000000,183,38,0,3,2
8,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027684000000,133497027685000000,41,7,0,2,1
9,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027685000000,133497027686000000,135,29,0,1,0
10,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027686000000,133497027687000000,183,35,1,4,0
11,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027687000000,133497027688000000,175,36,0,3,2
12,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027688000000,133497027689000000,177,36,0,3,1
13,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027689000000,133497027690000000,501,106,1,7,2
14,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027690000000,133497027691000000,2057,351,7,49,31
15,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027691000000,133497027692000000,2765,459,1,114,111
16,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027692000000,133497027693000000,1649,291,4,138,129
17,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027693000000,133497027694000000,3005,517,5,128,109
18,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027694000000,133497027695000000,2256,377,2,44,33
19,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027695000000,133497027696000000,4492,728,2,77,64
20,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80.exe,133497027696000000,133497027697000000,2009,331,1,173,154
