,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032772000000,133497032773000000,561,124,6,14,3
1,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032773000000,133497032774000000,2063,413,16,70,15
2,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032877000000,133497032878000000,900,182,7,40,8
3,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032878000000,133497032879000000,107,20,0,8,2
4,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032880000000,133497032881000000,14,5,0,4,0
5,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497032894000000,133497032895000000,2,0,0,0,0
6,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033073000000,133497033074000000,1,1,0,2,0
7,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033078000000,133497033079000000,0,0,1,0,0
8,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033178000000,133497033179000000,3,1,0,0,1
9,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033180000000,133497033181000000,1,0,0,0,0
10,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033372000000,133497033373000000,2,0,0,0,0
11,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497033373000000,133497033374000000,1,0,0,0,0
12,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497034112000000,133497034113000000,3,1,0,1,1
13,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497034633000000,133497034634000000,0,1,0,0,0
14,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,ApplicationFrameHost.exe,133497035773000000,133497035774000000,5,0,0,0,0
15,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032601000000,133497032602000000,1978,421,7,20,4
16,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032602000000,133497032603000000,1754,367,12,51,12
17,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032603000000,133497032604000000,1331,323,2,12,3
18,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032606000000,133497032607000000,34,7,0,2,1
19,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032607000000,133497032608000000,867,129,6,5,2
20,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032608000000,133497032609000000,3786,437,8,30,13
21,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032609000000,133497032610000000,283,58,1,9,3
22,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032610000000,133497032611000000,5061,376,8,30,11
23,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032612000000,133497032613000000,217,39,1,4,1
24,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032613000000,133497032614000000,63,15,0,2,0
25,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032614000000,133497032615000000,0,1,0,0,0
26,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032615000000,133497032616000000,1,0,0,0,0
27,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032617000000,133497032618000000,0,1,0,0,0
28,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032618000000,133497032619000000,1,0,0,0,0
29,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032619000000,133497032620000000,0,1,0,0,0
30,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032620000000,133497032621000000,1,0,0,0,0
31,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032621000000,133497032622000000,0,0,0,1,0
32,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032622000000,133497032623000000,1,0,0,0,0
33,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032625000000,133497032626000000,1,0,0,1,0
34,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032627000000,133497032628000000,2,0,0,0,0
35,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032629000000,133497032630000000,1,1,0,0,0
36,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032630000000,133497032631000000,5,1,0,1,0
37,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032635000000,133497032636000000,1,0,0,0,0
38,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032637000000,133497032638000000,0,0,0,0,1
39,574b7439b7469ed10331f4f383da0631a78c71b388eab0db1399d8606108b0ea,Bandizip.exe,133497032638000000,133497032639000000,1,0,0,0,1
