,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158151000000,133497158152000000,18,3,0,0,0
1,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158152000000,133497158153000000,2432,505,22,103,19
2,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158334000000,133497158335000000,957,188,11,39,9
3,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158335000000,133497158336000000,55,16,1,8,2
4,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158336000000,133497158337000000,14,4,0,2,1
5,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158452000000,133497158453000000,2,1,0,0,0
6,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158634000000,133497158635000000,2,1,0,1,0
7,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158636000000,133497158637000000,2,0,0,0,0
8,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158752000000,133497158753000000,1,0,0,0,0
9,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497158785000000,133497158786000000,1,1,0,1,0
10,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497159492000000,133497159493000000,4,1,0,1,0
11,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497160013000000,133497160014000000,1,0,0,1,0
12,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497160162000000,133497160163000000,1,0,0,0,0
13,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,ApplicationFrameHost.exe,133497161152000000,133497161153000000,7,1,0,1,1
14,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157963000000,133497157964000000,705,149,5,14,4
15,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157964000000,133497157965000000,2509,521,8,30,11
16,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157965000000,133497157966000000,2087,476,7,25,6
17,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157966000000,133497157967000000,2,1,0,0,0
18,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157967000000,133497157968000000,1,0,0,0,0
19,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157969000000,133497157970000000,34,8,0,1,1
20,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157973000000,133497157974000000,1,0,0,0,0
21,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157974000000,133497157975000000,1381,206,6,11,4
22,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157975000000,133497157976000000,3796,461,14,34,13
23,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157976000000,133497157977000000,786,125,4,18,6
24,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157977000000,133497157978000000,4278,251,5,16,6
25,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157978000000,133497157979000000,151,26,1,4,1
26,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157979000000,133497157980000000,132,24,1,4,1
27,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157980000000,133497157981000000,0,0,0,0,1
28,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157981000000,133497157982000000,1,0,0,0,1
29,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157982000000,133497157983000000,1,0,0,1,0
30,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157983000000,133497157984000000,2,0,0,1,0
31,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157984000000,133497157985000000,1,0,0,1,0
32,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157985000000,133497157986000000,0,0,0,0,1
33,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157986000000,133497157987000000,2,0,0,0,1
34,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157988000000,133497157989000000,1,0,0,0,0
35,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157991000000,133497157992000000,2,0,0,0,0
36,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157992000000,133497157993000000,1,0,0,0,0
37,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157993000000,133497157994000000,1,0,0,0,0
38,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157995000000,133497157996000000,1,0,0,0,0
39,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157997000000,133497157998000000,5,1,0,0,0
40,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497157999000000,133497158000000000,0,0,0,1,0
41,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497158004000000,133497158005000000,1,0,0,0,0
42,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497158006000000,133497158007000000,0,1,0,1,0
43,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497158008000000,133497158009000000,0,0,0,0,1
44,9925f2bbd8a65868dcef2699ed389fcaf617dd3d680ef45e2ee429b58d8f348f,Bandizip.exe,133497158010000000,133497158011000000,1,0,0,1,0
