,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043866000000,133344043867000000,11230,2057,73,65,12
1,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043867000000,133344043868000000,14732,2823,82,86,25
2,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043868000000,133344043869000000,8051,1580,55,172,32
3,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043869000000,133344043870000000,7101,1633,60,294,41
4,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043870000000,133344043871000000,10706,2143,29,71,21
5,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043871000000,133344043872000000,12261,1809,53,185,21
6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043872000000,133344043873000000,14843,1109,51,161,6
7,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043873000000,133344043874000000,23732,1971,56,148,16
8,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043874000000,133344043875000000,20018,1740,75,264,25
9,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043875000000,133344043876000000,20005,2041,63,197,32
10,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043876000000,133344043877000000,26399,2089,57,159,20
11,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6,Blackmatter-22d7d67c3af10b1a37f277ebabe2d1eb4fd25afbd6437d4377400e148bcc08d6.exe,133344043877000000,133344043878000000,18092,1249,47,131,12
