,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211707000000,133344211708000000,6676,1527,52,188,30
1,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211708000000,133344211709000000,7299,1714,67,206,29
2,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211709000000,133344211710000000,1470,316,10,43,7
3,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211710000000,133344211711000000,103,23,0,4,2
4,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211719000000,133344211720000000,38,8,0,2,2
5,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211729000000,133344211730000000,52,10,1,3,1
6,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211734000000,133344211735000000,22,6,0,0,0
7,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211739000000,133344211740000000,44,9,1,3,1
8,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211749000000,133344211750000000,38,8,1,1,0
9,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211759000000,133344211760000000,59,13,1,1,1
10,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211769000000,133344211770000000,347,119,1,1,0
11,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211770000000,133344211771000000,38,9,1,1,0
12,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211780000000,133344211781000000,37,7,0,2,1
13,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211792000000,133344211793000000,7874,2680,8,1,1
14,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211794000000,133344211795000000,4318,1471,4,1,0
15,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211795000000,133344211796000000,1399,476,2,0,0
16,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211796000000,133344211797000000,1115,380,2,0,0
17,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211797000000,133344211798000000,4605,1569,5,1,1
18,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211799000000,133344211800000000,4489,1525,4,2,1
19,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211800000000,133344211801000000,2057,701,3,2,1
20,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211802000000,133344211803000000,6598,2248,7,1,1
21,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211803000000,133344211804000000,640,217,1,0,0
22,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211805000000,133344211806000000,4711,1604,4,2,0
23,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211806000000,133344211807000000,569,194,0,0,0
24,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211807000000,133344211808000000,369,126,1,0,0
25,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211808000000,133344211809000000,2389,814,2,1,2
26,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211809000000,133344211810000000,4109,1400,5,2,1
27,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211811000000,133344211812000000,3144,1071,4,1,0
28,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211812000000,133344211813000000,3040,1034,3,0,1
29,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211815000000,133344211816000000,3559,1211,3,3,1
30,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211816000000,133344211817000000,1415,470,2,3,0
31,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211823000000,133344211824000000,6279,2139,6,2,1
32,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211824000000,133344211825000000,544,186,1,0,0
33,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211830000000,133344211831000000,189,38,3,4,2
34,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344211831000000,133344211832000000,187,39,4,9,3
35,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344212007000000,133344212008000000,2,0,0,0,1
36,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef.exe,133344212017000000,133344212018000000,225,50,1,10,3
37,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211689000000,133344211690000000,138,30,3,17,6
38,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211690000000,133344211691000000,141,28,3,31,3
39,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211691000000,133344211692000000,80,15,0,18,1
40,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211692000000,133344211693000000,50,9,1,10,2
41,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211693000000,133344211694000000,97,21,0,22,4
42,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211694000000,133344211695000000,102,17,2,22,5
43,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211695000000,133344211696000000,111,22,4,26,6
44,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211696000000,133344211697000000,126,22,2,27,6
45,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211697000000,133344211698000000,374,80,7,30,4
46,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211698000000,133344211699000000,39,8,1,12,3
47,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211699000000,133344211700000000,43,12,2,10,1
48,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211700000000,133344211701000000,57,14,3,17,1
49,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211701000000,133344211702000000,395,89,5,36,4
50,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211702000000,133344211703000000,64,17,3,24,5
51,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211703000000,133344211704000000,36,4,0,10,3
52,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211704000000,133344211705000000,37,9,0,8,5
53,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211705000000,133344211706000000,81,20,3,13,1
54,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211706000000,133344211707000000,116,16,1,27,2
55,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211707000000,133344211708000000,209,48,3,30,1
56,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211708000000,133344211709000000,279,71,6,41,3
57,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211709000000,133344211710000000,260,59,7,42,0
58,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211710000000,133344211711000000,322,82,3,51,3
59,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211711000000,133344211712000000,253,60,5,31,2
60,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211712000000,133344211713000000,86,21,1,17,1
61,Ekati-b933cb32689517aac6e459d33e9d8c7c8f31f0710008bfa09d9e91c2526826ef,Idle,133344211713000000,133344211714000000,19,8,1,8,4
