,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089041000000,133345089042000000,1,0,0,0,0
1,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089042000000,133345089043000000,7781,1844,55,196,36
2,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089043000000,133345089044000000,10526,1198,33,96,17
3,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089044000000,133345089045000000,14906,1326,22,46,18
4,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089045000000,133345089046000000,10099,2257,73,218,75
5,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089046000000,133345089047000000,5100,1138,47,191,60
6,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089047000000,133345089048000000,8845,2028,53,146,48
7,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,AdobeAcrobatReader.exe,133345089048000000,133345089049000000,2399,556,16,76,25
8,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089042000000,133345089043000000,4884,1078,30,88,16
9,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089043000000,133345089044000000,8533,1982,63,210,57
10,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089044000000,133345089045000000,5074,1136,50,184,42
11,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089045000000,133345089046000000,1727,345,12,48,15
12,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089046000000,133345089047000000,48,12,1,6,1
13,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089047000000,133345089048000000,90,19,0,2,1
14,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089048000000,133345089049000000,337,74,5,40,5
15,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089049000000,133345089050000000,3,1,0,0,0
16,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089051000000,133345089052000000,289,62,2,15,2
17,Forma-8d2b2a942c9e646a5f388837137a650716e11d95730db7dfeae26ab46778ba99,FORMA.exe,133345089052000000,133345089053000000,158,33,0,7,1
