,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481098000000,133345481099000000,350,80,3,11,3
1,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481099000000,133345481100000000,4238,737,27,118,35
2,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481100000000,133345481101000000,16295,1928,24,31,13
3,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481101000000,133345481102000000,18400,2265,24,16,6
4,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481102000000,133345481103000000,14456,1795,24,55,8
5,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481103000000,133345481104000000,19757,2384,24,9,3
6,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481104000000,133345481105000000,14745,1700,25,53,20
7,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481105000000,133345481106000000,18247,2213,26,31,8
8,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481106000000,133345481107000000,18917,2257,24,22,5
9,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481107000000,133345481108000000,19231,2288,23,11,3
10,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481108000000,133345481109000000,17096,2118,22,17,5
11,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481109000000,133345481110000000,18893,2264,23,14,4
12,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481110000000,133345481111000000,18520,2236,22,18,3
13,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481111000000,133345481112000000,20083,2447,23,8,1
14,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481112000000,133345481113000000,18887,2277,26,29,7
15,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481113000000,133345481114000000,17215,2027,24,28,5
16,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21,Gangbang-2e434bd96b08293786cd010883adfeacce5a30f5743d89c5187f38966b2e5d21.exe,133345481114000000,133345481115000000,16990,2037,22,23,9
