,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482884000000,133345482885000000,3335,698,27,102,26
1,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482885000000,133345482886000000,7129,592,20,59,7
2,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482918000000,133345482919000000,10,2,0,1,0
3,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482951000000,133345482952000000,9,2,0,1,0
4,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345482984000000,133345482985000000,5,1,0,0,0
5,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483007000000,133345483008000000,5594,1066,38,173,18
6,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483008000000,133345483009000000,8652,1626,51,238,24
7,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483009000000,133345483010000000,8949,1715,53,253,29
8,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483010000000,133345483011000000,2203,458,18,33,10
9,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483011000000,133345483012000000,5257,1030,31,68,23
10,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483012000000,133345483013000000,9650,1942,46,226,27
11,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483013000000,133345483014000000,9762,1745,39,198,20
12,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483014000000,133345483015000000,10588,1894,43,193,20
13,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483015000000,133345483016000000,7637,1381,43,162,27
14,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483016000000,133345483017000000,10116,1858,44,216,28
15,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483017000000,133345483018000000,9022,1630,46,203,22
16,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483018000000,133345483019000000,10046,1824,42,214,19
17,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483019000000,133345483020000000,11051,2101,58,223,27
18,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483020000000,133345483021000000,14771,2807,44,143,31
19,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483021000000,133345483022000000,13583,2727,39,137,34
20,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483022000000,133345483023000000,15545,2810,40,119,27
21,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483023000000,133345483024000000,15084,2732,40,123,24
22,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483024000000,133345483025000000,14222,2594,40,120,25
23,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483025000000,133345483026000000,11207,2005,35,130,21
24,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483026000000,133345483027000000,11016,2146,48,193,31
25,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483027000000,133345483028000000,10247,1886,39,186,22
26,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483028000000,133345483029000000,12625,2271,43,178,18
27,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483029000000,133345483030000000,11694,2084,39,190,12
28,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483030000000,133345483031000000,11275,2034,39,168,18
29,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483031000000,133345483032000000,14755,2641,41,143,24
30,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483032000000,133345483033000000,12196,2265,56,210,24
31,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483033000000,133345483034000000,12306,2280,57,205,18
32,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483034000000,133345483035000000,12202,2285,56,206,20
33,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483035000000,133345483036000000,12562,2342,53,187,20
34,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483036000000,133345483037000000,11240,2133,49,207,21
35,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483037000000,133345483038000000,11569,2340,43,201,24
36,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483038000000,133345483039000000,12093,2368,46,174,16
37,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483039000000,133345483040000000,12784,2332,45,171,16
38,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483040000000,133345483041000000,12379,2248,45,157,22
39,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483041000000,133345483042000000,12644,2610,46,152,13
40,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483042000000,133345483043000000,11092,2169,39,128,23
41,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483043000000,133345483044000000,6078,1519,23,80,5
42,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483044000000,133345483045000000,12620,2278,37,142,21
43,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483045000000,133345483046000000,11878,2320,35,142,20
44,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483046000000,133345483047000000,13400,2566,40,129,19
45,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77,GarrantyDecrypt-1fbb5f6b053388f9710456f7202b48b0b67363a752f69030eda5d32fdb0d5e77.exe,133345483047000000,133345483048000000,14543,2764,43,129,21
