,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GameBar.exe,133345485696000000,133345485697000000,8348,2061,48,181,33
1,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GameBar.exe,133345485697000000,133345485698000000,6225,1443,55,215,43
2,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GameBar.exe,133345485698000000,133345485699000000,3508,838,22,110,28
3,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484628000000,133345484629000000,5857,1359,41,160,21
4,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484629000000,133345484630000000,1504,348,18,106,9
5,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484639000000,133345484640000000,608,131,4,23,5
6,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484640000000,133345484641000000,864,184,5,8,1
7,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484641000000,133345484642000000,8833,1703,18,43,11
8,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484671000000,133345484672000000,0,0,0,1,0
9,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484701000000,133345484702000000,0,0,0,1,0
10,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484762000000,133345484763000000,1,0,0,0,0
11,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484792000000,133345484793000000,1,0,0,1,0
12,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484822000000,133345484823000000,1,0,0,0,0
13,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484912000000,133345484913000000,1,0,0,0,0
14,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484928000000,133345484929000000,2,0,0,0,1
15,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484939000000,133345484940000000,3,0,0,1,0
16,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484942000000,133345484943000000,1114,301,34,4,2
17,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484943000000,133345484944000000,16308,4059,132,4,2
18,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484944000000,133345484945000000,15376,3828,124,1,0
19,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484945000000,133345484946000000,15271,3804,125,3,1
20,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484946000000,133345484947000000,15258,3803,123,4,1
21,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484947000000,133345484948000000,15596,3885,127,1,0
22,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484948000000,133345484949000000,15635,3896,128,3,2
23,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484949000000,133345484950000000,16445,4096,133,3,3
24,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484950000000,133345484951000000,14904,3750,161,5,2
25,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484951000000,133345484952000000,14151,3566,171,5,1
26,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484952000000,133345484953000000,15196,3766,123,4,2
27,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484953000000,133345484954000000,15633,3859,124,3,0
28,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484954000000,133345484955000000,15587,3862,125,3,2
29,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484955000000,133345484956000000,15700,3890,126,3,1
30,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484956000000,133345484957000000,16424,4071,132,3,2
31,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484957000000,133345484958000000,16001,3953,128,5,1
32,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484958000000,133345484959000000,16676,4133,134,5,1
33,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484959000000,133345484960000000,15547,3851,125,4,3
34,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484960000000,133345484961000000,15889,3937,128,2,0
35,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484961000000,133345484962000000,15792,3907,127,4,2
36,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484962000000,133345484963000000,15800,3920,128,3,1
37,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c,GermanWiper-41364427dee49bf544dcff61a6899b3b7e59852435e4107931e294079a42de7c.exe,133345484963000000,133345484964000000,15881,3941,128,4,1
