,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003031000000,133344003032000000,1780,391,12,23,9
1,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003084000000,133344003085000000,243,52,1,8,3
2,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003085000000,133344003086000000,7,1,0,1,1
3,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003149000000,133344003150000000,8,0,0,0,0
4,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003161000000,133344003162000000,1,0,0,0,0
5,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003197000000,133344003198000000,556,119,3,12,5
6,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003198000000,133344003199000000,9,3,0,2,2
7,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003199000000,133344003200000000,1,0,0,0,0
8,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003200000000,133344003201000000,9,2,0,0,0
9,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003201000000,133344003202000000,9,1,0,1,0
10,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003202000000,133344003203000000,9,1,1,0,0
11,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003203000000,133344003204000000,77,16,1,3,1
12,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003204000000,133344003205000000,2,1,0,0,0
13,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003205000000,133344003206000000,40,9,0,2,1
14,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003206000000,133344003207000000,2,0,0,1,0
15,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003207000000,133344003208000000,1,0,0,0,0
16,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003208000000,133344003209000000,107,23,1,3,2
17,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003232000000,133344003233000000,1,0,0,0,1
18,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003233000000,133344003234000000,183,39,2,6,2
19,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003234000000,133344003235000000,52,11,0,1,1
20,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003237000000,133344003238000000,6,2,0,0,0
21,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003238000000,133344003239000000,1,0,0,0,0
22,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003240000000,133344003241000000,9,2,0,0,1
23,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003241000000,133344003242000000,232,49,3,5,1
24,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003249000000,133344003250000000,4,1,0,1,0
25,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003250000000,133344003251000000,267,58,2,9,4
26,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003253000000,133344003254000000,39,9,0,1,0
27,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003254000000,133344003255000000,28,5,0,0,1
28,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003258000000,133344003259000000,7,1,0,0,0
29,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003261000000,133344003262000000,1037,214,7,19,7
30,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003263000000,133344003264000000,2,1,0,1,0
31,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003264000000,133344003265000000,1228,265,10,31,10
32,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003265000000,133344003266000000,96,19,1,1,2
33,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003266000000,133344003267000000,495,106,3,7,4
34,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003267000000,133344003268000000,775,174,5,15,5
35,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003268000000,133344003269000000,45,5,2,4,0
36,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003269000000,133344003270000000,14,4,0,1,0
37,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003270000000,133344003271000000,677,148,6,9,5
38,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003271000000,133344003272000000,1613,354,7,19,6
39,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003272000000,133344003273000000,2186,476,14,46,14
40,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003273000000,133344003274000000,682,153,8,20,5
41,Hello-903c04976fa6e6721c596354f383a4d4272c6730b29eee00b0ec599265963e74,DeviceCensus.exe,133344003274000000,133344003275000000,1942,431,13,47,17
