,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509214000000,133345509215000000,1941,447,16,57,10
1,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509215000000,133345509216000000,6830,1794,100,193,28
2,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509216000000,133345509217000000,5618,1305,40,193,23
3,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509217000000,133345509218000000,7399,1521,41,136,38
4,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509218000000,133345509219000000,18849,979,18,3,3
5,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509219000000,133345509220000000,18979,1088,22,24,6
6,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509220000000,133345509221000000,25948,3917,60,200,23
7,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509221000000,133345509222000000,25144,3664,48,137,20
8,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509222000000,133345509223000000,26003,3599,47,105,11
9,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509223000000,133345509224000000,27679,4196,49,107,13
10,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509224000000,133345509225000000,24952,3676,52,147,23
11,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509225000000,133345509226000000,27594,4215,47,80,12
12,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509226000000,133345509227000000,27513,4257,57,104,8
13,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509227000000,133345509228000000,25347,3672,52,118,10
14,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509228000000,133345509229000000,21273,3129,36,57,8
15,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509229000000,133345509230000000,18681,2850,34,58,11
16,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509230000000,133345509231000000,12817,1672,54,190,9
17,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28,HorseDeal-d6ab910259c9bc68196aeec3e9ff4864bada22738c02ecf5ada7912ced292d28.exe,133345509231000000,133345509232000000,12353,1579,38,140,19
