,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528342000000,133345528343000000,4520,1213,19,46,11
1,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528343000000,133345528344000000,6190,1356,61,165,39
2,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528344000000,133345528345000000,3918,984,32,118,28
3,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528345000000,133345528346000000,2028,446,25,77,18
4,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528346000000,133345528347000000,985,209,11,25,7
5,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528347000000,133345528348000000,4700,1033,45,114,23
6,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,GameBar.exe,133345528348000000,133345528349000000,4195,928,37,112,31
7,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527952000000,133345527953000000,4988,1111,28,112,19
8,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527953000000,133345527954000000,1693,364,18,102,11
9,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527954000000,133345527955000000,4786,1044,34,124,25
10,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527955000000,133345527956000000,3251,684,21,118,15
11,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527956000000,133345527957000000,549,121,6,31,4
12,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527957000000,133345527958000000,606,124,11,31,9
13,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,HxTsr.exe,133345527958000000,133345527959000000,1285,202,4,38,6
14,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527283000000,133345527284000000,35,11,0,5,2
15,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527284000000,133345527285000000,115,33,3,29,5
16,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527285000000,133345527286000000,70,14,2,25,5
17,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527286000000,133345527287000000,51,10,2,11,2
18,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527287000000,133345527288000000,8,4,0,2,1
19,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527288000000,133345527289000000,28,7,2,8,1
20,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527289000000,133345527290000000,29,7,1,7,3
21,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527290000000,133345527291000000,31,9,1,5,2
22,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527291000000,133345527292000000,293,65,4,29,2
23,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527292000000,133345527293000000,121,21,5,20,0
24,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527293000000,133345527294000000,64,18,1,22,2
25,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527294000000,133345527295000000,64,17,3,22,1
26,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527295000000,133345527296000000,198,51,1,28,0
27,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527296000000,133345527297000000,121,25,3,31,2
28,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527297000000,133345527298000000,77,18,3,21,1
29,KarkenCryptor-528e4d24c18160b6bdd73c9a612d38a78fc58bd40c8ab415973a94429b321dfc,Idle,133345527298000000,133345527299000000,148,30,5,41,0
