,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,GameBar.exe,133345552844000000,133345552845000000,6960,1514,57,186,45
1,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,GameBar.exe,133345552845000000,133345552846000000,5882,1342,54,187,45
2,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,GameBar.exe,133345552846000000,133345552847000000,7350,2168,29,81,25
3,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551931000000,133345551932000000,3696,861,23,71,11
4,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551932000000,133345551933000000,176,32,1,10,3
5,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551933000000,133345551934000000,560,109,6,27,5
6,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551934000000,133345551935000000,809,175,11,40,9
7,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551935000000,133345551936000000,1281,280,15,46,11
8,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551936000000,133345551937000000,3884,840,31,87,22
9,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551937000000,133345551938000000,2187,514,11,61,11
10,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551938000000,133345551939000000,741,120,5,30,7
11,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551939000000,133345551940000000,548,111,4,20,4
12,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551940000000,133345551941000000,532,111,5,30,8
13,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551941000000,133345551942000000,459,101,6,18,5
14,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551942000000,133345551943000000,599,135,4,24,7
15,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551943000000,133345551944000000,2295,575,3,13,3
16,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,HxTsr.exe,133345551944000000,133345551945000000,144,29,2,10,3
17,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551844000000,133345551845000000,30,12,0,0,4
18,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551845000000,133345551846000000,73,18,1,11,1
19,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551846000000,133345551847000000,20,5,0,4,1
20,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551847000000,133345551848000000,83,17,2,18,2
21,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551848000000,133345551849000000,59,13,2,12,3
22,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551849000000,133345551850000000,366,84,2,24,0
23,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551850000000,133345551851000000,22,4,0,4,1
24,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551851000000,133345551852000000,21,3,2,7,1
25,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551852000000,133345551853000000,30,9,0,8,1
26,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551853000000,133345551854000000,277,62,9,32,7
27,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551854000000,133345551855000000,28,8,0,11,4
28,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551855000000,133345551856000000,34,8,0,11,3
29,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551856000000,133345551857000000,26,5,0,11,4
30,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551857000000,133345551858000000,35,12,1,9,4
31,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551858000000,133345551859000000,52,12,2,14,2
32,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551859000000,133345551860000000,143,23,5,23,0
33,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551860000000,133345551861000000,194,46,2,34,2
34,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551861000000,133345551862000000,65,15,1,13,1
35,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551862000000,133345551863000000,81,14,2,26,1
36,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551863000000,133345551864000000,52,12,3,18,0
37,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551864000000,133345551865000000,81,18,2,21,0
38,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551865000000,133345551866000000,38,7,1,8,0
39,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551866000000,133345551867000000,108,24,3,26,2
40,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551867000000,133345551868000000,73,19,3,18,1
41,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551868000000,133345551869000000,49,14,2,14,1
42,KillRabbit-92c50cd253de42823a2e1a59f2551aa315ceb12b8f741820bdbc14b5ebe1dfb9,Idle,133345551869000000,133345551870000000,57,16,2,16,1
