,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805275000000,133343805276000000,1010,227,6,16,5
1,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805276000000,133343805277000000,2909,673,15,56,10
2,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805277000000,133343805278000000,1652,336,10,27,8
3,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805278000000,133343805279000000,915,199,10,39,8
4,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805279000000,133343805280000000,1713,373,13,51,14
5,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805280000000,133343805281000000,4360,990,32,87,25
6,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,HxTsr.exe,133343805281000000,133343805282000000,1949,374,17,79,16
7,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804676000000,133343804677000000,18,11,0,3,4
8,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804677000000,133343804678000000,87,24,2,17,0
9,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804678000000,133343804679000000,19,3,0,7,2
10,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804679000000,133343804680000000,15,1,0,3,1
11,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804680000000,133343804681000000,191,44,2,20,1
12,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804681000000,133343804682000000,10,2,0,2,2
13,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804682000000,133343804683000000,8,4,1,5,1
14,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804683000000,133343804684000000,6,1,0,1,1
15,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804684000000,133343804685000000,11,2,0,6,1
16,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804685000000,133343804686000000,59,16,2,18,1
17,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804686000000,133343804687000000,18,4,0,5,3
18,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804687000000,133343804688000000,316,67,6,41,3
19,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804688000000,133343804689000000,11,2,1,2,1
20,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804689000000,133343804690000000,10,2,0,4,1
21,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804690000000,133343804691000000,6,1,0,2,1
22,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804691000000,133343804692000000,36,5,1,10,3
23,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804692000000,133343804693000000,25,8,0,8,2
24,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804693000000,133343804694000000,89,22,1,23,3
25,Lilith-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343804694000000,133343804695000000,50,11,2,7,3
