,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555241000000,133345555242000000,30,14,0,0,4
1,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555242000000,133345555243000000,58,13,0,6,1
2,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555243000000,133345555244000000,63,16,3,21,3
3,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555244000000,133345555245000000,58,10,3,16,1
4,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555245000000,133345555246000000,39,11,1,11,0
5,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555246000000,133345555247000000,30,7,0,7,3
6,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555247000000,133345555248000000,148,31,3,14,2
7,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555248000000,133345555249000000,210,51,1,18,1
8,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555249000000,133345555250000000,110,28,3,11,6
9,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555250000000,133345555251000000,28,4,1,13,3
10,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555251000000,133345555252000000,21,7,0,10,4
11,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555252000000,133345555253000000,24,9,0,3,2
12,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555253000000,133345555254000000,55,12,1,13,2
13,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555254000000,133345555255000000,25,2,0,2,2
14,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555255000000,133345555256000000,111,27,2,21,1
15,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555256000000,133345555257000000,287,53,7,43,2
16,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555257000000,133345555258000000,420,99,4,21,2
17,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555258000000,133345555259000000,165,30,4,24,2
18,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555259000000,133345555260000000,250,54,4,38,2
19,LockBit-0a937d4fe8aa6cb947b95841c490d73e452a3cafcd92645afc353006786aba76,Idle,133345555260000000,133345555261000000,175,38,1,24,1
