,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590658000000,133345590659000000,958,216,10,22,3
1,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590659000000,133345590660000000,4134,930,34,171,19
2,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590660000000,133345590661000000,1484,321,15,76,12
3,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590661000000,133345590662000000,6035,1333,46,165,30
4,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590662000000,133345590663000000,2097,399,17,115,13
5,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590663000000,133345590664000000,805,170,9,39,7
6,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,HxTsr.exe,133345590664000000,133345590665000000,1288,202,4,32,6
7,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590605000000,133345590606000000,62,17,0,19,4
8,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590606000000,133345590607000000,93,24,2,22,4
9,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590607000000,133345590608000000,21,7,0,6,2
10,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590608000000,133345590609000000,25,5,1,8,2
11,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590609000000,133345590610000000,21,7,2,4,3
12,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590610000000,133345590611000000,25,5,3,6,2
13,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590611000000,133345590612000000,144,32,1,25,1
14,Maze-067f1b8f1e0b2bfe286f5169e17834e8cf7f4266b8d97f28ea78995dc81b0e7b,Idle,133345590612000000,133345590613000000,214,50,2,15,3
