,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711777000000,133345711778000000,24,8,0,2,6
1,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711778000000,133345711779000000,80,16,4,23,3
2,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711779000000,133345711780000000,487,155,0,14,2
3,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711780000000,133345711781000000,72,19,2,17,2
4,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711781000000,133345711782000000,166,32,3,34,0
5,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711782000000,133345711783000000,39,6,2,12,0
6,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711783000000,133345711784000000,48,9,0,9,3
7,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711784000000,133345711785000000,13,2,0,2,2
8,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711785000000,133345711786000000,125,25,5,21,1
9,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711786000000,133345711787000000,201,39,2,24,6
10,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711787000000,133345711788000000,12,3,0,4,3
11,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711788000000,133345711789000000,25,9,1,10,5
12,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711789000000,133345711790000000,41,9,1,11,6
13,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711790000000,133345711791000000,27,6,0,7,1
14,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711791000000,133345711792000000,102,25,2,15,0
15,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711792000000,133345711793000000,70,20,4,16,0
16,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711793000000,133345711794000000,159,33,5,34,2
17,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711794000000,133345711795000000,118,31,8,30,3
18,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711795000000,133345711796000000,119,26,5,28,0
19,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711796000000,133345711797000000,152,33,2,37,1
20,MedusaLocker-dde3c98b6a370fb8d1785f3134a76cb465cd663db20dffe011da57a4de37aa95,Idle,133345711797000000,133345711798000000,222,56,5,30,5
