,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,GameBar.exe,133345716872000000,133345716873000000,71,15,0,2,1
1,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,GameBar.exe,133345716873000000,133345716874000000,8609,1990,65,204,45
2,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,GameBar.exe,133345716874000000,133345716875000000,3579,766,44,160,43
3,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,GameBar.exe,133345716875000000,133345716876000000,2088,444,22,64,13
4,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,GameBar.exe,133345716876000000,133345716877000000,4,1,0,1,0
5,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715922000000,133345715923000000,482,107,3,11,3
6,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715923000000,133345715924000000,5068,1119,33,139,25
7,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715924000000,133345715925000000,1892,409,21,106,16
8,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715925000000,133345715926000000,6200,1382,45,164,27
9,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715926000000,133345715927000000,2029,390,19,122,12
10,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715927000000,133345715928000000,791,166,5,43,6
11,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,HxTsr.exe,133345715928000000,133345715929000000,1407,237,8,43,8
12,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,Idle,133345715740000000,133345715741000000,54,17,0,3,4
13,MountLocker-e7c277aae66085f1e0c4789fe51cac50e3ea86d79c8a242ffc066ed0b0548037,Idle,133345715741000000,133345715742000000,64,17,2,20,5
