,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728514000000,133345728515000000,1044,236,6,30,8
1,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728515000000,133345728516000000,3136,715,22,88,21
2,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728516000000,133345728517000000,1522,326,18,83,19
3,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728517000000,133345728518000000,3004,658,24,86,28
4,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728518000000,133345728519000000,4542,987,30,118,41
5,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728519000000,133345728520000000,1235,261,10,71,11
6,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728520000000,133345728521000000,1465,278,9,48,9
7,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,HxTsr.exe,133345728521000000,133345728522000000,663,111,5,21,4
8,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728463000000,133345728464000000,10,7,0,0,4
9,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728464000000,133345728465000000,68,10,1,20,1
10,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728465000000,133345728466000000,65,14,4,19,1
11,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728466000000,133345728467000000,19,7,2,7,2
12,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728467000000,133345728468000000,33,8,1,9,2
13,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728468000000,133345728469000000,103,22,3,19,1
14,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728469000000,133345728470000000,15,3,1,4,2
15,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728470000000,133345728471000000,8,2,0,1,2
16,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728471000000,133345728472000000,11,3,1,3,1
17,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728472000000,133345728473000000,24,6,0,6,2
18,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728473000000,133345728474000000,255,46,1,22,3
19,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728474000000,133345728475000000,52,10,1,11,1
20,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728475000000,133345728476000000,10,2,0,3,1
21,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728476000000,133345728477000000,9,2,0,2,2
22,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728477000000,133345728478000000,18,5,1,5,0
23,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728478000000,133345728479000000,38,8,1,11,3
24,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728479000000,133345728480000000,25,6,1,7,3
25,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728480000000,133345728481000000,46,9,3,16,0
26,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728481000000,133345728482000000,24,6,1,4,4
27,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728482000000,133345728483000000,242,55,5,44,3
28,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728483000000,133345728484000000,73,20,4,24,0
29,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728484000000,133345728485000000,40,10,1,11,2
30,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728485000000,133345728486000000,27,5,1,7,0
31,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728486000000,133345728487000000,44,11,2,11,4
32,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728487000000,133345728488000000,12,1,0,3,0
33,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728488000000,133345728489000000,23,6,1,14,0
34,Nephilim-b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,Idle,133345728489000000,133345728490000000,18,4,0,4,1
