,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818087000000,133343818088000000,0,1,0,0,0
1,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818088000000,133343818089000000,4718,1173,20,67,16
2,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818089000000,133343818090000000,1679,352,17,80,11
3,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818090000000,133343818091000000,820,180,8,27,7
4,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818091000000,133343818092000000,2730,587,22,71,16
5,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818092000000,133343818093000000,4201,933,21,86,16
6,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,HxTsr.exe,133343818093000000,133343818094000000,770,165,9,30,5
7,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817805000000,133343817806000000,70,23,2,20,6
8,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817806000000,133343817807000000,55,12,2,17,4
9,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817807000000,133343817808000000,17,4,0,6,2
10,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817808000000,133343817809000000,21,6,0,6,3
11,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817809000000,133343817810000000,15,2,0,4,1
12,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817810000000,133343817811000000,7,1,0,1,1
13,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817811000000,133343817812000000,41,9,1,11,1
14,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817812000000,133343817813000000,74,13,2,19,1
15,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817813000000,133343817814000000,19,4,0,5,2
16,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817814000000,133343817815000000,56,16,2,14,6
17,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817815000000,133343817816000000,289,72,5,30,5
18,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817816000000,133343817817000000,62,12,4,18,2
19,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817817000000,133343817818000000,37,6,0,7,0
20,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817818000000,133343817819000000,45,9,1,15,4
21,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817819000000,133343817820000000,27,3,0,8,3
22,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817820000000,133343817821000000,33,7,2,8,2
23,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817821000000,133343817822000000,33,6,1,8,3
24,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817822000000,133343817823000000,25,5,1,7,1
25,Nokoyawa-e097cde0f76df948f039584045acfa6bd7ef863141560815d12c3c6e6452dce4,Idle,133343817823000000,133343817824000000,49,11,1,12,1
