,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848613000000,133343848614000000,28,12,0,1,4
1,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848614000000,133343848615000000,127,23,2,27,3
2,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848615000000,133343848616000000,37,8,3,10,4
3,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848616000000,133343848617000000,48,12,1,9,2
4,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848617000000,133343848618000000,37,11,1,11,0
5,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848618000000,133343848619000000,36,11,0,13,5
6,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848619000000,133343848620000000,47,13,1,14,4
7,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848620000000,133343848621000000,36,4,0,11,3
8,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848621000000,133343848622000000,23,6,1,7,4
9,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848622000000,133343848623000000,37,9,0,10,1
10,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848623000000,133343848624000000,283,68,7,40,3
11,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848624000000,133343848625000000,31,4,2,9,2
12,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848625000000,133343848626000000,37,7,0,14,3
13,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848626000000,133343848627000000,46,15,2,12,5
14,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848627000000,133343848628000000,85,18,3,19,4
15,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848628000000,133343848629000000,58,13,3,22,3
16,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848629000000,133343848630000000,55,13,3,15,4
17,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848630000000,133343848631000000,343,82,4,35,1
18,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848631000000,133343848632000000,372,81,4,20,1
19,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848632000000,133343848633000000,915,195,6,33,3
20,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848633000000,133343848634000000,1281,261,12,35,3
21,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848634000000,133343848635000000,1064,244,11,28,3
22,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848635000000,133343848636000000,1074,223,12,23,4
23,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848636000000,133343848637000000,1099,238,7,23,2
24,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848637000000,133343848638000000,1022,226,8,29,5
25,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848638000000,133343848639000000,1063,245,7,36,1
26,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848639000000,133343848640000000,1130,241,7,38,4
27,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848640000000,133343848641000000,1052,216,4,28,3
28,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848641000000,133343848642000000,1029,244,13,36,2
29,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848642000000,133343848643000000,1029,234,10,29,3
30,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848643000000,133343848644000000,1042,246,9,42,4
31,Onyx-a7f09cfde433f3d47fc96502bf2b623ae5e7626da85d0a0130dcd19d1679af9b,Idle,133343848644000000,133343848645000000,1049,239,6,26,1
