,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738979000000,133345738980000000,1341,294,7,25,6
1,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738980000000,133345738981000000,4042,954,22,65,13
2,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738983000000,133345738984000000,66,14,1,2,0
3,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738986000000,133345738987000000,7,1,0,1,1
4,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738989000000,133345738990000000,1054,226,6,18,4
5,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738991000000,133345738992000000,268,58,4,16,5
6,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738992000000,133345738993000000,4712,1025,42,144,26
7,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738993000000,133345738994000000,4729,1039,35,134,34
8,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738994000000,133345738995000000,1154,252,9,48,17
9,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738996000000,133345738997000000,31,5,0,0,0
10,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345738997000000,133345738998000000,211,40,1,7,1
11,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739000000000,133345739001000000,1132,238,9,56,13
12,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739001000000,133345739002000000,1886,418,20,68,13
13,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739002000000,133345739003000000,1886,412,21,71,15
14,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739003000000,133345739004000000,5248,1123,30,91,24
15,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739006000000,133345739007000000,2764,589,15,35,9
16,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739007000000,133345739008000000,4830,1033,23,55,12
17,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739010000000,133345739011000000,7492,1597,34,73,21
18,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739011000000,133345739012000000,1,1,0,0,0
19,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739013000000,133345739014000000,6446,1365,27,48,17
20,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739014000000,133345739015000000,1639,354,11,29,9
21,Payloadbin-69775389eb0207fec3a3f5649a0ad9315856c810f595c086ac49d68cdbc1d136,DeviceCensus.exe,133345739016000000,133345739017000000,2281,486,10,23,8
