,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743498000000,133345743499000000,3953,903,25,89,11
1,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743499000000,133345743500000000,2275,497,21,92,15
2,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743500000000,133345743501000000,5632,1270,37,117,22
3,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743501000000,133345743502000000,2624,520,20,116,18
4,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743502000000,133345743503000000,819,173,8,31,8
5,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,HxTsr.exe,133345743503000000,133345743504000000,1375,224,9,39,8
6,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743437000000,133345743438000000,85,21,1,18,4
7,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743438000000,133345743439000000,57,12,1,7,4
8,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743439000000,133345743440000000,21,7,0,6,2
9,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743440000000,133345743441000000,79,16,2,18,2
10,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743441000000,133345743442000000,24,4,0,9,1
11,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743442000000,133345743443000000,139,31,1,24,2
12,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743443000000,133345743444000000,8,2,0,3,2
13,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743444000000,133345743445000000,11,2,0,2,1
14,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743445000000,133345743446000000,8,1,1,1,2
15,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743446000000,133345743447000000,229,52,2,22,0
16,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743447000000,133345743448000000,94,10,3,11,2
17,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743448000000,133345743449000000,30,10,0,6,2
18,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743449000000,133345743450000000,62,14,2,20,2
19,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743450000000,133345743451000000,42,7,3,6,2
20,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743451000000,133345743452000000,34,9,0,11,3
21,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743452000000,133345743453000000,38,6,2,11,5
22,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743453000000,133345743454000000,50,10,1,4,1
23,Phoenix-008ec79765325200361d9c93ac35edd430f8b17894ff843268caa5acd6224549,Idle,133345743454000000,133345743455000000,43,11,2,12,1
