,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783526000000,133345783527000000,417,91,4,11,2
1,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783527000000,133345783528000000,3465,813,25,89,17
2,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783528000000,133345783529000000,1946,409,23,131,18
3,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783529000000,133345783530000000,5712,1267,37,135,31
4,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783530000000,133345783531000000,2899,592,24,153,19
5,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783531000000,133345783532000000,817,169,11,41,7
6,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,HxTsr.exe,133345783532000000,133345783533000000,2344,408,8,49,10
7,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783398000000,133345783399000000,234,69,2,19,7
8,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783399000000,133345783400000000,168,43,5,35,4
9,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783400000000,133345783401000000,65,12,0,17,2
10,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783401000000,133345783402000000,219,50,3,33,0
11,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783402000000,133345783403000000,166,40,2,21,0
12,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783403000000,133345783404000000,771,160,6,75,4
13,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783404000000,133345783405000000,26,6,2,7,3
14,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783405000000,133345783406000000,33,10,0,8,3
15,Povlsomware-fd32cec288cec4f16dc5430cf86dc17e1d4cf941d635979fc17a59c8d6d83d44,Idle,133345783406000000,133345783407000000,156,37,4,33,2
