,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,ARP.EXE,133345787014000000,133345787015000000,246,56,2,6,2
1,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,ARP.EXE,133345787015000000,133345787016000000,1327,288,10,38,6
2,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787035000000,133345787036000000,1343,312,12,29,5
3,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787036000000,133345787037000000,2880,659,16,70,15
4,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787037000000,133345787038000000,2258,584,16,72,15
5,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787038000000,133345787039000000,2795,611,22,69,18
6,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787039000000,133345787040000000,4201,944,29,119,31
7,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787040000000,133345787041000000,1859,354,15,88,18
8,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787041000000,133345787042000000,738,157,8,29,9
9,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,HxTsr.exe,133345787042000000,133345787043000000,1296,204,4,30,6
10,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786950000000,133345786951000000,115,34,1,15,0
11,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786951000000,133345786952000000,70,18,5,21,1
12,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786952000000,133345786953000000,55,11,1,14,3
13,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786953000000,133345786954000000,53,8,0,15,1
14,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786954000000,133345786955000000,41,6,2,8,2
15,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786955000000,133345786956000000,399,94,7,31,1
16,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786956000000,133345786957000000,268,66,6,26,0
17,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786957000000,133345786958000000,67,15,3,19,2
18,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786958000000,133345786959000000,24,4,0,7,3
19,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786959000000,133345786960000000,29,4,0,5,1
20,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786960000000,133345786961000000,28,10,2,13,0
21,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786961000000,133345786962000000,48,15,2,11,3
22,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786962000000,133345786963000000,35,8,1,6,2
23,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786963000000,133345786964000000,25,5,0,10,0
24,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786964000000,133345786965000000,97,22,5,27,1
25,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786965000000,133345786966000000,51,13,2,15,1
26,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786966000000,133345786967000000,65,13,1,9,4
27,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786967000000,133345786968000000,137,29,3,20,2
28,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786968000000,133345786969000000,237,42,3,28,0
29,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786969000000,133345786970000000,388,88,4,34,1
30,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786970000000,133345786971000000,348,79,7,43,1
31,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786971000000,133345786972000000,308,80,5,37,2
32,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786972000000,133345786973000000,198,45,3,25,3
33,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786973000000,133345786974000000,21,5,2,5,0
34,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786974000000,133345786975000000,19,3,1,3,1
35,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786975000000,133345786976000000,16,4,0,4,2
36,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786976000000,133345786977000000,18,5,0,5,2
37,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786977000000,133345786978000000,59,12,2,19,1
38,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786978000000,133345786979000000,63,16,1,9,4
39,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786979000000,133345786980000000,17,5,0,8,3
40,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786980000000,133345786981000000,21,5,2,6,1
41,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786981000000,133345786982000000,15,2,0,3,1
42,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786982000000,133345786983000000,21,5,0,6,1
43,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786983000000,133345786984000000,28,9,0,8,1
44,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786984000000,133345786985000000,20,3,1,6,2
45,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786985000000,133345786986000000,82,16,2,26,2
46,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786986000000,133345786987000000,19,4,0,4,2
47,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786987000000,133345786988000000,9,5,1,4,2
48,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786988000000,133345786989000000,12,3,1,3,0
49,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786989000000,133345786990000000,18,5,0,5,1
50,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786990000000,133345786991000000,13,1,2,2,2
51,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786991000000,133345786992000000,37,8,2,10,2
52,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786992000000,133345786993000000,12,3,1,6,1
53,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786993000000,133345786994000000,14,5,0,4,1
54,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786994000000,133345786995000000,13,4,0,3,2
55,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786995000000,133345786996000000,69,18,2,17,1
56,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786996000000,133345786997000000,230,55,4,58,0
57,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786997000000,133345786998000000,202,51,5,48,1
58,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786998000000,133345786999000000,132,31,5,33,1
59,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345786999000000,133345787000000000,107,28,2,19,2
60,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787000000000,133345787001000000,183,36,5,34,0
61,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787001000000,133345787002000000,163,36,3,22,2
62,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787002000000,133345787003000000,42,8,1,4,1
63,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787003000000,133345787004000000,1,0,1,0,0
64,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787004000000,133345787005000000,306,66,4,18,4
65,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787005000000,133345787006000000,294,68,3,33,2
66,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787006000000,133345787007000000,186,37,2,13,1
67,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787007000000,133345787008000000,5,0,0,1,0
68,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787008000000,133345787009000000,27,5,1,0,0
69,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787009000000,133345787010000000,295,69,2,28,3
70,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787010000000,133345787011000000,269,65,1,22,2
71,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787011000000,133345787012000000,210,56,4,23,3
72,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787012000000,133345787013000000,15,5,0,2,1
73,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787013000000,133345787014000000,25,8,1,4,0
74,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787014000000,133345787015000000,264,63,2,20,1
75,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787015000000,133345787016000000,363,80,3,34,2
76,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787016000000,133345787017000000,340,81,4,30,3
77,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787017000000,133345787018000000,116,31,2,7,1
78,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787018000000,133345787019000000,119,25,0,16,0
79,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787019000000,133345787020000000,336,69,3,24,0
80,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787020000000,133345787021000000,276,63,5,40,1
81,Prometheus-8c723af5c826adea162ef3f2e37a1cca7b43d549c9a5fab7c9ff17f65eb5d8e7,Idle,133345787021000000,133345787022000000,181,40,6,30,1
