,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829678000000,133343829679000000,19,7,0,0,5
1,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829679000000,133343829680000000,83,21,1,13,1
2,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829680000000,133343829681000000,92,19,0,17,2
3,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829681000000,133343829682000000,15,3,0,4,1
4,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829682000000,133343829683000000,15,3,1,5,0
5,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829683000000,133343829684000000,7,2,0,2,1
6,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829684000000,133343829685000000,5,1,0,0,1
7,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829685000000,133343829686000000,5,1,0,2,1
8,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829686000000,133343829687000000,20,5,0,2,0
9,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829687000000,133343829688000000,5,1,1,1,1
10,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829688000000,133343829689000000,251,55,4,28,1
11,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829689000000,133343829690000000,61,12,1,17,1
12,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829690000000,133343829691000000,24,7,2,7,0
13,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829691000000,133343829692000000,23,4,1,8,2
14,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829692000000,133343829693000000,29,8,1,8,4
15,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829693000000,133343829694000000,94,23,4,14,1
16,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829694000000,133343829695000000,10,3,0,6,1
17,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829695000000,133343829696000000,33,6,1,15,1
18,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829696000000,133343829697000000,34,6,1,4,2
19,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829697000000,133343829698000000,170,30,3,27,0
20,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829698000000,133343829699000000,219,45,3,27,3
21,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829699000000,133343829700000000,288,56,4,26,4
22,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829700000000,133343829701000000,361,71,3,29,5
23,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829701000000,133343829702000000,294,52,1,20,2
24,REvil-12d8bfa1aeb557c146b98f069f3456cc8392863a2f4ad938722cd7ca1a773b39,Idle,133343829702000000,133343829703000000,300,59,2,18,6
