,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815653000000,133345815654000000,3408,800,20,63,14
1,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815654000000,133345815655000000,3104,639,21,129,24
2,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815655000000,133345815656000000,2787,611,20,78,16
3,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815656000000,133345815657000000,5121,1110,35,197,27
4,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815657000000,133345815658000000,1087,232,17,66,6
5,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,HxTsr.exe,133345815658000000,133345815659000000,1521,251,11,42,12
6,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814857000000,133345814858000000,202,37,3,17,9
7,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814858000000,133345814859000000,58,11,2,16,1
8,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814859000000,133345814860000000,69,23,6,13,1
9,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814860000000,133345814861000000,19,5,0,6,3
10,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814861000000,133345814862000000,33,4,2,12,1
11,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814862000000,133345814863000000,28,6,1,8,1
12,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814863000000,133345814864000000,15,6,1,4,1
13,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814864000000,133345814865000000,23,6,0,4,0
14,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814865000000,133345814866000000,111,23,1,21,3
15,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814866000000,133345814867000000,404,87,4,33,3
16,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814867000000,133345814868000000,195,38,3,29,1
17,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814868000000,133345814869000000,65,11,1,16,1
18,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814869000000,133345814870000000,68,14,4,13,4
19,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814870000000,133345814871000000,22,6,1,9,3
20,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814871000000,133345814872000000,29,5,1,7,1
21,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814872000000,133345814873000000,24,3,1,7,3
22,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814873000000,133345814874000000,64,14,0,20,3
23,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814874000000,133345814875000000,28,5,0,7,1
24,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814875000000,133345814876000000,42,6,1,9,4
25,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814876000000,133345814877000000,35,10,0,8,4
26,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814877000000,133345814878000000,24,6,0,6,2
27,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814878000000,133345814879000000,54,14,2,13,1
28,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814879000000,133345814880000000,248,66,1,17,0
29,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814880000000,133345814881000000,27,9,2,10,2
30,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814881000000,133345814882000000,46,16,2,14,0
31,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814882000000,133345814883000000,279,48,4,23,1
32,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814883000000,133345814884000000,12,3,0,4,2
33,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814884000000,133345814885000000,67,16,1,18,2
34,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814885000000,133345814886000000,35,5,1,14,1
35,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814886000000,133345814887000000,56,15,1,19,3
36,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814887000000,133345814888000000,207,49,9,30,1
37,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814888000000,133345814889000000,258,70,5,49,7
38,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814889000000,133345814890000000,128,29,3,19,2
39,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814890000000,133345814891000000,281,78,5,42,1
40,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814891000000,133345814892000000,237,54,10,58,4
41,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814892000000,133345814893000000,126,25,2,34,1
42,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814893000000,133345814894000000,116,25,5,39,1
43,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814894000000,133345814895000000,187,44,5,53,1
44,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814895000000,133345814896000000,102,27,2,30,1
45,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814896000000,133345814897000000,148,47,4,32,0
46,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814897000000,133345814898000000,224,54,6,38,4
47,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814898000000,133345814899000000,215,52,8,54,4
48,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814899000000,133345814900000000,135,34,2,31,0
49,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814900000000,133345814901000000,273,64,6,62,1
50,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814901000000,133345814902000000,75,20,2,23,1
51,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814902000000,133345814903000000,77,22,3,16,2
52,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814903000000,133345814904000000,158,29,4,30,7
53,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814904000000,133345814905000000,186,38,5,43,5
54,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814905000000,133345814906000000,96,20,1,28,3
55,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814906000000,133345814907000000,175,33,6,42,3
56,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814907000000,133345814908000000,168,24,3,30,4
57,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814908000000,133345814909000000,128,25,4,31,8
58,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814909000000,133345814910000000,268,58,6,55,9
59,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814910000000,133345814911000000,149,33,3,30,3
60,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814911000000,133345814912000000,94,18,1,28,4
61,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814912000000,133345814913000000,77,20,3,21,2
62,REvil-52612bceee07152f2e2e6699b3c085149e11979f34fe248bda14e03a0d950e85,Idle,133345814913000000,133345814914000000,85,20,2,19,1
