,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796404000000,133345796405000000,740,168,6,13,3
1,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796405000000,133345796406000000,5247,1301,37,84,25
2,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796406000000,133345796407000000,5654,1371,51,96,30
3,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796407000000,133345796408000000,3023,752,29,51,18
4,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796408000000,133345796409000000,2037,442,25,38,16
5,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796409000000,133345796410000000,5,1,0,0,1
6,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796410000000,133345796411000000,3409,875,21,42,11
7,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796411000000,133345796412000000,6692,1564,49,105,35
8,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796412000000,133345796413000000,3376,814,34,80,28
9,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,GameBar.exe,133345796413000000,133345796414000000,2163,473,19,42,15
10,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795475000000,133345795476000000,170,39,1,3,1
11,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795476000000,133345795477000000,2401,572,13,47,9
12,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795477000000,133345795478000000,1376,298,9,30,9
13,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795478000000,133345795479000000,157,28,2,15,4
14,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795479000000,133345795480000000,729,152,8,30,8
15,Ragnar-9bdd7f965d1c67396afb0a84c78b4d12118ff377db7efdca4a1340933120f376,HxTsr.exe,133345795480000000,133345795481000000,270,57,3,21,3
