,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799502000000,133345799503000000,1995,474,12,39,8
1,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799503000000,133345799504000000,3741,820,27,125,15
2,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799504000000,133345799505000000,2862,625,21,72,16
3,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799505000000,133345799506000000,4952,1069,31,110,27
4,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799506000000,133345799507000000,1105,229,8,35,5
5,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799507000000,133345799508000000,826,178,7,28,8
6,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,HxTsr.exe,133345799508000000,133345799509000000,1363,209,4,29,6
7,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799390000000,133345799391000000,44,12,0,10,4
8,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799391000000,133345799392000000,69,20,2,17,0
9,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799392000000,133345799393000000,13,2,0,3,1
10,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799393000000,133345799394000000,18,6,0,3,2
11,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799394000000,133345799395000000,12,2,0,5,1
12,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799395000000,133345799396000000,5,3,0,1,1
13,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799396000000,133345799397000000,41,6,2,14,0
14,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799397000000,133345799398000000,35,10,0,11,3
15,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799398000000,133345799399000000,45,12,0,13,2
16,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799399000000,133345799400000000,15,6,2,5,1
17,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799400000000,133345799401000000,54,14,3,14,0
18,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799401000000,133345799402000000,36,5,2,9,0
19,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799402000000,133345799403000000,28,5,1,4,1
20,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799403000000,133345799404000000,1725,432,5,24,5
21,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799404000000,133345799405000000,148,33,1,21,4
22,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799405000000,133345799406000000,35,12,3,8,2
23,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799406000000,133345799407000000,33,7,3,5,2
24,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799407000000,133345799408000000,34,10,2,10,3
25,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799408000000,133345799409000000,69,12,2,14,4
26,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799409000000,133345799410000000,108,23,3,29,2
27,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799410000000,133345799411000000,253,56,6,45,2
28,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799411000000,133345799412000000,1072,233,11,64,2
29,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799412000000,133345799413000000,619,140,6,52,2
30,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799413000000,133345799414000000,353,74,8,59,3
31,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799414000000,133345799415000000,178,38,6,35,1
32,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799415000000,133345799416000000,122,28,1,33,0
33,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799416000000,133345799417000000,109,26,3,42,0
34,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799417000000,133345799418000000,156,33,4,49,0
35,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799418000000,133345799419000000,30,4,1,11,0
36,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799419000000,133345799420000000,441,113,8,50,1
37,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799420000000,133345799421000000,97,16,1,12,1
38,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799421000000,133345799422000000,29,9,0,6,0
39,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799422000000,133345799423000000,28,6,1,8,1
40,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799423000000,133345799424000000,35,8,1,10,1
41,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799424000000,133345799425000000,38,7,0,6,0
42,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799425000000,133345799426000000,21,6,1,6,1
43,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799426000000,133345799427000000,18,9,1,3,0
44,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799427000000,133345799428000000,60,13,2,23,1
45,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799428000000,133345799429000000,61,13,3,18,0
46,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799429000000,133345799430000000,34,5,1,7,1
47,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799430000000,133345799431000000,7,4,0,2,1
48,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799431000000,133345799432000000,85,14,1,16,0
49,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799432000000,133345799433000000,52,13,0,5,0
50,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799433000000,133345799434000000,21,5,0,6,0
51,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799434000000,133345799435000000,114,23,2,8,0
52,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799435000000,133345799436000000,225,50,2,26,1
53,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799436000000,133345799437000000,94,24,0,15,1
54,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799437000000,133345799438000000,51,11,2,4,0
55,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799438000000,133345799439000000,43,10,1,12,4
56,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799439000000,133345799440000000,54,12,1,18,0
57,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799440000000,133345799441000000,58,14,2,8,1
58,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799441000000,133345799442000000,25,5,1,2,1
59,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799442000000,133345799443000000,24,4,1,6,1
60,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799443000000,133345799444000000,23,4,0,8,2
61,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799444000000,133345799445000000,29,8,0,7,0
62,Ragnarok-b7319f3e21c3941fc2a960b67a150b02f1f3389825164140e75dfa023a73d34c,Idle,133345799445000000,133345799446000000,30,5,3,5,0
