,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804030000000,133345804031000000,797,179,5,20,4
1,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804031000000,133345804032000000,510,116,4,6,3
2,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804032000000,133345804033000000,65,17,1,1,0
3,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804033000000,133345804034000000,10,3,0,1,0
4,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804034000000,133345804035000000,167,44,1,2,1
5,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804035000000,133345804036000000,1237,300,2,8,1
6,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804036000000,133345804037000000,5,1,0,1,0
7,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804037000000,133345804038000000,1,0,0,0,0
8,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804038000000,133345804039000000,2,0,0,1,0
9,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804039000000,133345804040000000,92,21,0,3,0
10,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804040000000,133345804041000000,435,92,3,6,3
11,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804129000000,133345804130000000,1683,337,9,26,6
12,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804130000000,133345804131000000,1279,264,10,45,13
13,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804131000000,133345804132000000,397,84,3,10,2
14,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804132000000,133345804133000000,123,25,3,5,1
15,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804133000000,133345804134000000,414,92,5,11,2
16,RansomEXX-4cae449450c07b7aa74314173c7b00d409eabfe22b86859f3b3acedd66010458,HxTsr.exe,133345804134000000,133345804135000000,338,71,4,11,3
