,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812285000000,133345812286000000,1878,413,14,40,9
1,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812286000000,133345812287000000,2667,789,15,30,5
2,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812287000000,133345812288000000,1793,500,8,25,6
3,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812290000000,133345812291000000,67,16,1,2,2
4,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812292000000,133345812293000000,8,2,1,1,2
5,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812295000000,133345812296000000,1037,220,8,22,5
6,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812298000000,133345812299000000,2,1,0,0,1
7,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812301000000,133345812302000000,3663,762,24,89,22
8,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812302000000,133345812303000000,1786,391,9,30,6
9,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812303000000,133345812304000000,3207,808,20,63,13
10,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812304000000,133345812305000000,665,154,5,20,3
11,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812305000000,133345812306000000,3815,833,26,106,33
12,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812310000000,133345812311000000,30,4,0,0,1
13,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812311000000,133345812312000000,212,43,2,11,2
14,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812315000000,133345812316000000,2190,623,13,45,11
15,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812316000000,133345812317000000,406,87,3,25,4
16,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812317000000,133345812318000000,5775,1547,30,75,19
17,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812318000000,133345812319000000,1865,406,19,72,16
18,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812319000000,133345812320000000,5699,1289,33,99,27
19,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812322000000,133345812323000000,1443,301,10,30,10
20,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812323000000,133345812324000000,7397,1719,32,70,21
21,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812326000000,133345812327000000,0,1,0,0,0
22,RegretLocker-a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,DeviceCensus.exe,133345812327000000,133345812328000000,8435,1896,37,95,31
