,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412842000000,133346412843000000,3736,858,20,66,14
1,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412843000000,133346412844000000,2552,626,22,105,12
2,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412844000000,133346412845000000,5070,1120,41,137,23
3,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412845000000,133346412846000000,3193,672,32,168,18
4,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412846000000,133346412847000000,693,146,6,42,10
5,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,HxTsr.exe,133346412847000000,133346412848000000,1458,241,8,42,6
6,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412285000000,133346412286000000,59,17,1,6,7
7,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412286000000,133346412287000000,76,22,4,28,1
8,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412287000000,133346412288000000,125,24,1,32,2
9,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412288000000,133346412289000000,28,6,0,7,1
10,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412289000000,133346412290000000,57,15,0,13,1
11,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412290000000,133346412291000000,52,12,0,10,3
12,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412291000000,133346412292000000,46,15,3,17,2
13,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412292000000,133346412293000000,318,80,7,38,5
14,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412293000000,133346412294000000,120,31,2,34,5
15,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412294000000,133346412295000000,150,32,5,28,3
16,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412295000000,133346412296000000,88,21,4,18,1
17,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412296000000,133346412297000000,77,25,2,17,3
18,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412297000000,133346412298000000,163,37,4,37,4
19,Rhino-53949ef3e26fbae3d1db568a0857849d466a39bb3dc51c9a62c2bcb735163f80,Idle,133346412298000000,133346412299000000,95,29,0,14,3
