,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851111000000,133343851112000000,3750,872,23,63,10
1,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851112000000,133343851113000000,1230,257,10,65,10
2,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851113000000,133343851114000000,1422,315,15,58,9
3,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851114000000,133343851115000000,4705,1040,33,127,28
4,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851115000000,133343851116000000,3212,664,14,71,16
5,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851116000000,133343851117000000,8520,1325,15,84,17
6,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851117000000,133343851118000000,2121,382,16,72,16
7,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851118000000,133343851119000000,986,218,9,44,11
8,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,HxTsr.exe,133343851119000000,133343851120000000,1150,180,3,27,8
9,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850217000000,133343850218000000,9,6,0,5,6
10,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850218000000,133343850219000000,60,13,0,16,0
11,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850219000000,133343850220000000,23,3,0,3,3
12,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850220000000,133343850221000000,19,6,3,3,1
13,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850221000000,133343850222000000,6,1,0,3,1
14,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850222000000,133343850223000000,7,1,0,5,1
15,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850223000000,133343850224000000,7,2,0,2,1
16,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850224000000,133343850225000000,7,1,0,2,1
17,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850225000000,133343850226000000,12,1,3,1,1
18,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850226000000,133343850227000000,8,2,0,1,1
19,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850227000000,133343850228000000,260,58,4,29,5
20,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850228000000,133343850229000000,43,11,1,12,1
21,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850229000000,133343850230000000,52,11,1,13,0
22,Rhysida-d5c2f87033a5baeeb1b5b681f2c4a156ff1c05ccd1bfdaf6eae019fc4d5320ee,Idle,133343850230000000,133343850231000000,36,6,1,8,3
