,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,GameBar.exe,133346430625000000,133346430626000000,7068,1630,61,212,43
1,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,GameBar.exe,133346430626000000,133346430627000000,5659,1221,59,256,52
2,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,GameBar.exe,133346430627000000,133346430628000000,3675,787,28,79,22
3,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430414000000,133346430415000000,500,111,4,11,2
4,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430415000000,133346430416000000,3661,840,23,104,13
5,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430416000000,133346430417000000,2191,479,20,112,17
6,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430417000000,133346430418000000,5602,1248,41,149,26
7,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430418000000,133346430419000000,2967,576,21,134,18
8,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430419000000,133346430420000000,1202,230,9,41,17
9,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,HxTsr.exe,133346430420000000,133346430421000000,823,129,5,28,2
10,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429499000000,133346429500000000,84,26,2,7,5
11,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429500000000,133346429501000000,137,34,0,16,0
12,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429501000000,133346429502000000,41,6,1,9,1
13,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429502000000,133346429503000000,80,21,4,18,5
14,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429503000000,133346429504000000,36,10,0,9,3
15,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429504000000,133346429505000000,11,0,1,2,1
16,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429505000000,133346429506000000,131,25,6,21,7
17,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429506000000,133346429507000000,111,28,2,26,2
18,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429507000000,133346429508000000,95,17,3,24,4
19,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429508000000,133346429509000000,382,92,10,44,4
20,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429509000000,133346429510000000,214,54,4,43,14
21,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429510000000,133346429511000000,90,21,2,27,5
22,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429511000000,133346429512000000,27,5,0,8,2
23,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429512000000,133346429513000000,58,14,1,19,1
24,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429513000000,133346429514000000,38,13,0,8,2
25,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429514000000,133346429515000000,147,41,1,22,1
26,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429515000000,133346429516000000,19,5,0,2,1
27,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429516000000,133346429517000000,50,11,1,6,1
28,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429517000000,133346429518000000,60,11,2,11,0
29,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429518000000,133346429519000000,100,23,2,25,3
30,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429519000000,133346429520000000,61,14,1,24,0
31,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429520000000,133346429521000000,347,89,5,64,4
32,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429521000000,133346429522000000,235,54,4,46,3
33,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429522000000,133346429523000000,176,37,6,39,2
34,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429523000000,133346429524000000,195,46,3,38,1
35,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429524000000,133346429525000000,55,10,0,9,0
36,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429525000000,133346429526000000,243,52,4,27,5
37,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429526000000,133346429527000000,166,36,0,12,2
38,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429527000000,133346429528000000,116,15,1,17,1
39,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429528000000,133346429529000000,155,32,3,29,2
40,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429529000000,133346429530000000,108,20,2,22,2
41,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429530000000,133346429531000000,114,21,1,18,1
42,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429531000000,133346429532000000,82,15,0,23,2
43,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429532000000,133346429533000000,51,10,2,11,0
44,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429533000000,133346429534000000,77,16,1,19,1
45,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429534000000,133346429535000000,85,26,0,14,1
46,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429535000000,133346429536000000,104,24,2,17,1
47,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429536000000,133346429537000000,115,32,1,15,0
48,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429537000000,133346429538000000,55,14,0,6,0
49,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429538000000,133346429539000000,77,15,1,7,0
50,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429539000000,133346429540000000,204,52,4,21,2
51,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429540000000,133346429541000000,269,64,6,27,1
52,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429541000000,133346429542000000,203,40,3,43,4
53,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429542000000,133346429543000000,245,57,5,62,6
54,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429543000000,133346429544000000,124,27,1,19,2
55,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429544000000,133346429545000000,143,32,6,40,2
56,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429545000000,133346429546000000,191,34,4,31,2
57,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429546000000,133346429547000000,38,9,1,11,3
58,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429547000000,133346429548000000,133,32,2,28,1
59,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429548000000,133346429549000000,231,52,4,60,1
60,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429549000000,133346429550000000,190,33,6,40,2
61,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429550000000,133346429551000000,97,33,2,22,1
62,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429551000000,133346429552000000,31,6,0,11,0
63,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429552000000,133346429553000000,140,36,1,32,3
64,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429553000000,133346429554000000,77,18,1,14,1
65,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429554000000,133346429555000000,172,38,2,45,0
66,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429555000000,133346429556000000,82,16,1,16,3
67,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429556000000,133346429557000000,134,30,1,26,3
68,Sadogo-6704bdd23f15685f68de5c7aed1b9919fb4e7e29296c93f7294468892c771357,Idle,133346429557000000,133346429558000000,61,14,2,11,4
