,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437916000000,133346437917000000,3861,1001,21,66,10
1,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437917000000,133346437918000000,3538,1068,10,27,5
2,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437920000000,133346437921000000,70,15,1,3,1
3,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437922000000,133346437923000000,6,0,0,0,0
4,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437925000000,133346437926000000,1791,478,7,18,6
5,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437928000000,133346437929000000,4158,1205,22,72,15
6,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437929000000,133346437930000000,4846,1142,20,89,12
7,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437930000000,133346437931000000,3540,810,18,64,15
8,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437931000000,133346437932000000,2819,776,14,54,11
9,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437932000000,133346437933000000,4280,1109,24,99,28
10,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437937000000,133346437938000000,31,5,1,1,1
11,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437938000000,133346437939000000,1115,349,2,7,2
12,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437944000000,133346437945000000,515,107,4,15,3
13,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437945000000,133346437946000000,811,181,7,27,3
14,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437946000000,133346437947000000,2451,671,16,36,8
15,Saturn-9E87F069DE22CEAC029A4AC56E6305D2DF54227E6B0F0B3ECAD52A01FBADE021,DeviceCensus.exe,133346437947000000,133346437948000000,1623,483,5,20,5
