,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442878000000,133346442879000000,2623,579,21,51,8
1,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442879000000,133346442880000000,1548,392,9,36,3
2,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442881000000,133346442882000000,68,15,0,3,1
3,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442883000000,133346442884000000,6,1,0,0,0
4,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442885000000,133346442886000000,1047,222,7,28,5
5,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442888000000,133346442889000000,1,0,0,1,0
6,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442890000000,133346442891000000,151,34,2,4,1
7,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442891000000,133346442892000000,2476,533,23,68,17
8,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442892000000,133346442893000000,3300,723,26,73,13
9,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442893000000,133346442894000000,1837,505,11,26,5
10,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442894000000,133346442895000000,5359,1302,32,122,35
11,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442898000000,133346442899000000,18,2,0,0,0
12,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442899000000,133346442900000000,25,4,1,0,0
13,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442900000000,133346442901000000,203,39,2,5,2
14,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442905000000,133346442906000000,1938,517,14,43,6
15,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442906000000,133346442907000000,368,85,8,20,3
16,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442907000000,133346442908000000,2275,504,24,73,11
17,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442908000000,133346442909000000,2674,620,16,61,16
18,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442909000000,133346442910000000,5413,1138,28,83,25
19,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442913000000,133346442914000000,3841,814,23,55,14
20,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442914000000,133346442915000000,4032,858,27,60,14
21,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442917000000,133346442918000000,6208,1357,24,49,17
22,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442918000000,133346442919000000,2747,567,16,38,11
23,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442919000000,133346442920000000,1,0,0,0,0
24,Scroboscope-37f5b68321a9645814569cfdbfa08c363f0e19b077c3b0174e578eff40a69f3b,DeviceCensus.exe,133346442921000000,133346442922000000,7657,1621,33,78,21
