,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448436000000,133346448437000000,364,79,3,8,0
1,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448437000000,133346448438000000,4405,1000,32,156,15
2,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448438000000,133346448439000000,1455,321,16,89,8
3,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448439000000,133346448440000000,5022,1107,37,110,23
4,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448440000000,133346448441000000,2580,539,21,119,16
5,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448441000000,133346448442000000,734,157,10,44,8
6,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448442000000,133346448443000000,65,14,1,5,1
7,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448443000000,133346448444000000,733,158,5,27,9
8,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,HxTsr.exe,133346448444000000,133346448445000000,2442,606,4,24,4
9,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448280000000,133346448281000000,135,37,3,17,5
10,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448281000000,133346448282000000,242,51,4,30,6
11,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448282000000,133346448283000000,172,35,1,26,7
12,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448283000000,133346448284000000,253,56,4,47,7
13,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448284000000,133346448285000000,96,18,2,24,2
14,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448285000000,133346448286000000,40,6,0,16,1
15,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448286000000,133346448287000000,123,22,2,37,1
16,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448287000000,133346448288000000,328,55,1,46,1
17,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448288000000,133346448289000000,168,37,2,27,2
18,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448289000000,133346448290000000,152,47,5,24,2
19,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448290000000,133346448291000000,146,41,2,33,2
20,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448291000000,133346448292000000,157,39,4,26,4
21,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448292000000,133346448293000000,183,44,3,26,4
22,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448293000000,133346448294000000,123,29,4,19,4
23,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448294000000,133346448295000000,143,31,1,17,3
24,ShutUpAndDance-5288d94dd00233562401fd10d4a5e332e06b1ee95a98b843861c9f49518342dc,Idle,133346448295000000,133346448296000000,217,40,5,44,1
