,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577959000000,133346577960000000,2017,473,14,41,9
1,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577960000000,133346577961000000,2565,567,13,64,10
2,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577961000000,133346577962000000,1279,272,11,59,12
3,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577962000000,133346577963000000,779,179,7,35,5
4,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577963000000,133346577964000000,6383,1562,38,105,24
5,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577964000000,133346577965000000,3063,742,15,86,19
6,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577965000000,133346577966000000,521,112,4,31,6
7,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577966000000,133346577967000000,768,161,8,32,6
8,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577967000000,133346577968000000,1382,222,5,32,7
9,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,HxTsr.exe,133346577968000000,133346577969000000,2,1,0,0,0
10,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577903000000,133346577904000000,31,8,0,1,7
11,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577904000000,133346577905000000,79,12,2,18,2
12,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577905000000,133346577906000000,38,7,1,14,4
13,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577906000000,133346577907000000,31,8,2,9,1
14,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577907000000,133346577908000000,47,12,0,11,4
15,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577908000000,133346577909000000,9,3,0,2,0
16,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577909000000,133346577910000000,10,3,1,4,1
17,SplinterJoke-67628a5f04c7099346dd18957a4bc5179f5c3a07b41ca0d2a9e708dcab54d16d,Idle,133346577910000000,133346577911000000,10,1,0,3,5
