,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022039000000,133344022040000000,1265,287,9,34,4
1,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022040000000,133344022041000000,3006,691,15,59,12
2,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022041000000,133344022042000000,2457,636,15,65,8
3,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022042000000,133344022043000000,2692,588,23,63,13
4,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022043000000,133344022044000000,4146,932,29,97,27
5,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,HxTsr.exe,133344022044000000,133344022045000000,1667,316,11,58,8
6,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021950000000,133344021951000000,32,13,1,3,4
7,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021951000000,133344021952000000,59,17,2,27,1
8,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021952000000,133344021953000000,48,12,2,13,6
9,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021953000000,133344021954000000,30,6,1,9,1
10,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021954000000,133344021955000000,79,19,1,12,3
11,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021955000000,133344021956000000,55,13,3,11,3
12,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021956000000,133344021957000000,24,7,1,7,1
13,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021957000000,133344021958000000,22,5,2,7,2
14,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021958000000,133344021959000000,36,8,0,8,3
15,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021959000000,133344021960000000,19,7,0,4,1
16,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021960000000,133344021961000000,11,3,0,3,3
17,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021961000000,133344021962000000,137,33,2,25,1
18,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021962000000,133344021963000000,648,164,7,42,7
19,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021963000000,133344021964000000,27,8,0,7,2
20,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021964000000,133344021965000000,26,8,0,9,3
21,Tellyouthepass-8abaa521a014cdbda2afe77042f21947b147197d274bf801de2df55b1e01c904,Idle,133344021965000000,133344021966000000,19,5,2,4,3
