,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832762000000,133343832763000000,2847,624,21,64,9
1,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832763000000,133343832764000000,788,174,9,23,5
2,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832765000000,133343832766000000,66,15,1,2,0
3,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832768000000,133343832769000000,7,2,0,1,0
4,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832771000000,133343832772000000,1033,223,6,24,6
5,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832773000000,133343832774000000,1,0,0,0,1
6,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832801000000,133343832802000000,502,106,8,26,6
7,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832802000000,133343832803000000,5600,1286,36,127,22
8,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832803000000,133343832804000000,4608,1013,33,134,29
9,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832804000000,133343832805000000,1634,351,11,69,17
10,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832806000000,133343832807000000,32,5,0,1,0
11,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832807000000,133343832808000000,217,42,2,9,3
12,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832809000000,133343832810000000,584,120,5,25,6
13,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832810000000,133343832811000000,818,178,13,51,8
14,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832811000000,133343832812000000,2708,610,28,108,14
15,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832812000000,133343832813000000,6497,1391,42,141,25
16,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832815000000,133343832816000000,7595,1625,33,94,24
17,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832818000000,133343832819000000,8359,1761,35,82,31
18,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832821000000,133343832822000000,6141,1303,21,45,14
19,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832822000000,133343832823000000,1984,428,12,35,6
20,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832824000000,133343832825000000,4595,966,17,32,11
21,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832825000000,133343832826000000,3480,746,19,42,10
22,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832827000000,133343832828000000,5001,1076,20,42,12
23,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832828000000,133343832829000000,1919,413,13,37,5
24,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832830000000,133343832831000000,4693,998,22,54,16
25,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,DeviceCensus.exe,133343832831000000,133343832832000000,678,150,7,28,7
26,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,HxTsr.exe,133343831863000000,133343831864000000,4753,1191,24,71,10
27,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,HxTsr.exe,133343831864000000,133343831865000000,1219,260,15,53,8
28,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,HxTsr.exe,133343831865000000,133343831866000000,1069,237,11,35,8
29,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,HxTsr.exe,133343831866000000,133343831867000000,4981,1102,31,130,29
30,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,HxTsr.exe,133343831867000000,133343831868000000,2633,543,19,93,12
31,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Idle,133343831141000000,133343831142000000,158,45,2,9,5
32,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Idle,133343831142000000,133343831143000000,82,18,2,11,3
33,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Idle,133343831143000000,133343831144000000,2091,521,5,8,3
34,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Idle,133343831144000000,133343831145000000,9,2,0,3,2
35,Trigona-704f1655ce9127d7aab6d82660b48a127b5f00cadd7282acb03c440f21dae5e2,Idle,133343831145000000,133343831146000000,15,3,0,5,2
