,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,HxTsr.exe,133346727774000000,133346727775000000,1085,245,9,28,5
1,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,HxTsr.exe,133346727775000000,133346727776000000,4775,1072,37,154,22
2,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,HxTsr.exe,133346727776000000,133346727777000000,2932,637,19,79,15
3,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,HxTsr.exe,133346727777000000,133346727778000000,4827,1086,37,168,25
4,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,HxTsr.exe,133346727778000000,133346727779000000,1865,354,15,74,9
5,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727541000000,133346727542000000,20,7,0,1,2
6,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727542000000,133346727543000000,70,13,2,19,0
7,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727543000000,133346727544000000,1239,306,6,21,3
8,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727544000000,133346727545000000,38,9,1,12,1
9,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727545000000,133346727546000000,32,9,0,10,3
10,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727546000000,133346727547000000,5823,1454,8,5,0
11,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727547000000,133346727548000000,1118,280,2,4,0
12,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727548000000,133346727549000000,8,1,0,3,1
13,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727549000000,133346727550000000,8,3,0,1,2
14,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727550000000,133346727551000000,7,1,0,2,0
15,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727551000000,133346727552000000,20,6,2,4,1
16,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727552000000,133346727553000000,222,42,1,22,2
17,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727553000000,133346727554000000,85,22,1,29,5
18,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727554000000,133346727555000000,28,5,1,6,3
19,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727555000000,133346727556000000,25,8,2,7,1
20,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727556000000,133346727557000000,32,4,1,8,3
21,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727557000000,133346727558000000,53,16,2,14,3
22,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727558000000,133346727559000000,73,13,2,15,1
23,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727559000000,133346727560000000,100,22,2,17,1
24,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727560000000,133346727561000000,10,1,1,3,2
25,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727561000000,133346727562000000,22,5,2,4,1
26,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727562000000,133346727563000000,15,5,1,5,3
27,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727563000000,133346727564000000,15,4,1,5,1
28,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727564000000,133346727565000000,22,8,0,6,2
29,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727565000000,133346727566000000,198,44,3,27,3
30,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727566000000,133346727567000000,175,32,4,32,3
31,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727567000000,133346727568000000,239,53,4,40,1
32,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727568000000,133346727569000000,85,23,1,20,0
33,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727569000000,133346727570000000,125,35,5,32,1
34,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727570000000,133346727571000000,157,43,3,28,1
35,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727571000000,133346727572000000,227,51,8,52,4
36,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727572000000,133346727573000000,63,13,2,13,2
37,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727573000000,133346727574000000,95,24,1,19,2
38,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727574000000,133346727575000000,35,10,1,9,1
39,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727575000000,133346727576000000,29,4,1,2,1
40,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727576000000,133346727577000000,26,2,0,4,1
41,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727577000000,133346727578000000,24,5,0,7,0
42,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727578000000,133346727579000000,53,5,2,13,2
43,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727579000000,133346727580000000,46,8,1,8,0
44,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727580000000,133346727581000000,14,2,0,3,1
45,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727581000000,133346727582000000,50,10,1,12,2
46,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727582000000,133346727583000000,10,2,1,0,1
47,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727583000000,133346727584000000,13,2,0,2,1
48,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727584000000,133346727585000000,10,1,0,2,2
49,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727585000000,133346727586000000,127,26,3,30,3
50,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727586000000,133346727587000000,133,25,6,25,1
51,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727587000000,133346727588000000,200,49,2,24,0
52,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727588000000,133346727589000000,103,27,2,22,2
53,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727589000000,133346727590000000,105,21,0,20,3
54,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727590000000,133346727591000000,255,56,6,33,1
55,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727591000000,133346727592000000,223,57,6,27,4
56,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727592000000,133346727593000000,109,32,4,27,4
57,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727593000000,133346727594000000,52,12,1,9,0
58,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727594000000,133346727595000000,185,46,3,39,3
59,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727595000000,133346727596000000,108,28,1,33,5
60,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727596000000,133346727597000000,148,39,3,38,3
61,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727597000000,133346727598000000,121,28,7,27,1
62,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727598000000,133346727599000000,202,53,0,23,1
63,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727599000000,133346727600000000,226,56,5,17,3
64,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727600000000,133346727601000000,221,45,3,21,2
65,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727601000000,133346727602000000,152,31,4,17,4
66,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727602000000,133346727603000000,142,27,1,28,0
67,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727603000000,133346727604000000,196,51,0,33,3
68,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727604000000,133346727605000000,152,19,1,21,2
69,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727605000000,133346727606000000,150,34,2,27,2
70,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727606000000,133346727607000000,201,53,2,17,3
71,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727607000000,133346727608000000,242,52,2,19,3
72,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727608000000,133346727609000000,133,37,4,20,1
73,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727609000000,133346727610000000,182,44,2,14,5
74,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727610000000,133346727611000000,250,63,8,24,3
75,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727611000000,133346727612000000,325,69,8,45,1
76,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727612000000,133346727613000000,124,21,1,34,5
77,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727613000000,133346727614000000,194,42,4,41,3
78,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727614000000,133346727615000000,253,61,10,47,3
79,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727615000000,133346727616000000,180,40,4,37,3
80,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727616000000,133346727617000000,340,79,4,37,7
81,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727617000000,133346727618000000,363,94,4,28,1
82,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727618000000,133346727619000000,296,53,7,53,2
83,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727619000000,133346727620000000,284,63,6,28,1
84,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727620000000,133346727621000000,251,40,3,41,1
85,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727621000000,133346727622000000,488,110,2,46,1
86,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727622000000,133346727623000000,289,63,4,40,3
87,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727623000000,133346727624000000,167,46,1,42,1
88,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727624000000,133346727625000000,285,57,11,50,4
89,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727625000000,133346727626000000,285,71,5,43,3
90,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727626000000,133346727627000000,239,54,9,53,4
91,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727627000000,133346727628000000,256,70,8,68,4
92,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727628000000,133346727629000000,183,53,3,40,1
93,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727629000000,133346727630000000,330,80,4,47,4
94,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727630000000,133346727631000000,221,59,6,31,1
95,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727631000000,133346727632000000,144,31,6,42,3
96,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727632000000,133346727633000000,154,30,5,32,1
97,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727633000000,133346727634000000,100,28,3,17,0
98,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727634000000,133346727635000000,189,36,4,30,2
99,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727635000000,133346727636000000,278,65,3,40,4
100,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727636000000,133346727637000000,151,38,2,26,2
101,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727637000000,133346727638000000,160,36,3,30,2
102,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727638000000,133346727639000000,150,28,5,36,7
103,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727639000000,133346727640000000,191,38,7,58,9
104,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727640000000,133346727641000000,183,40,7,41,8
105,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727641000000,133346727642000000,147,25,3,35,4
106,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727642000000,133346727643000000,122,32,8,27,3
107,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727643000000,133346727644000000,39,7,2,10,2
108,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727644000000,133346727645000000,9,3,0,2,3
109,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727645000000,133346727646000000,13,2,0,3,0
110,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727646000000,133346727647000000,11,2,1,5,1
111,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727647000000,133346727648000000,12,7,0,3,2
112,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727648000000,133346727649000000,14,2,0,2,2
113,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727649000000,133346727650000000,183,44,2,19,2
114,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727650000000,133346727651000000,9,2,0,1,2
115,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727651000000,133346727652000000,36,7,2,11,2
116,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727652000000,133346727653000000,13,2,1,4,2
117,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727653000000,133346727654000000,9,0,0,1,1
118,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727654000000,133346727655000000,8,3,0,2,2
119,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727655000000,133346727656000000,8,3,0,2,2
120,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727656000000,133346727657000000,15,3,1,3,1
121,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727657000000,133346727658000000,12,4,1,2,3
122,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727658000000,133346727659000000,11,1,0,3,1
123,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727659000000,133346727660000000,33,11,2,9,2
124,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727660000000,133346727661000000,6,1,0,2,1
125,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727661000000,133346727662000000,13,2,0,3,2
126,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727662000000,133346727663000000,48,14,1,14,2
127,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727663000000,133346727664000000,11,1,1,3,0
128,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727664000000,133346727665000000,9,2,0,2,1
129,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727665000000,133346727666000000,7,1,0,2,1
130,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727666000000,133346727667000000,22,6,1,6,2
131,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727667000000,133346727668000000,8,1,0,2,2
132,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727668000000,133346727669000000,8,1,2,2,1
133,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727669000000,133346727670000000,10,2,0,2,1
134,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727670000000,133346727671000000,7,1,0,2,1
135,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727671000000,133346727672000000,10,2,0,3,3
136,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727672000000,133346727673000000,7,2,1,1,2
137,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727673000000,133346727674000000,9,2,0,2,1
138,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727674000000,133346727675000000,12,2,0,4,2
139,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727675000000,133346727676000000,7,0,0,0,1
140,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727676000000,133346727677000000,76,20,3,22,3
141,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727677000000,133346727678000000,11,3,2,5,1
142,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727678000000,133346727679000000,8,3,1,4,0
143,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727679000000,133346727680000000,11,2,1,4,0
144,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727680000000,133346727681000000,3,0,0,1,1
145,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727681000000,133346727682000000,13,1,0,1,0
146,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727682000000,133346727683000000,5,2,1,2,1
147,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727683000000,133346727684000000,6,0,1,0,0
148,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727684000000,133346727685000000,12,2,0,3,0
149,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727685000000,133346727686000000,30,5,0,5,0
150,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727686000000,133346727687000000,17,3,0,3,1
151,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727687000000,133346727688000000,5,1,0,1,0
152,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727688000000,133346727689000000,8,3,1,3,1
153,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727689000000,133346727690000000,3,0,0,1,0
154,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727690000000,133346727691000000,78,20,0,13,1
155,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727691000000,133346727692000000,7,1,1,2,0
156,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727692000000,133346727693000000,8,2,0,1,1
157,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727693000000,133346727694000000,6,1,0,3,0
158,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727694000000,133346727695000000,10,3,0,2,1
159,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727695000000,133346727696000000,8,2,1,1,0
160,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727696000000,133346727697000000,7,1,0,0,1
161,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727697000000,133346727698000000,17,4,0,6,0
162,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727698000000,133346727699000000,15,2,0,2,0
163,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727699000000,133346727700000000,25,7,0,6,0
164,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727700000000,133346727701000000,6,2,0,0,0
165,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727701000000,133346727702000000,21,5,1,3,0
166,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727702000000,133346727703000000,16,5,0,1,1
167,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727703000000,133346727704000000,55,13,2,7,2
168,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727704000000,133346727705000000,47,16,1,16,3
169,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727705000000,133346727706000000,21,4,1,4,0
170,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727706000000,133346727707000000,13,2,0,7,1
171,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727707000000,133346727708000000,64,17,0,18,3
172,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727708000000,133346727709000000,28,6,2,9,2
173,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727709000000,133346727710000000,128,22,2,17,2
174,Xbash-31155bf8c85c6c6193842b8d09bda88990d710db9f70efe85c421f1484f0ee78,Idle,133346727710000000,133346727711000000,120,27,9,21,1
