,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744342000000,133346744343000000,4,1,0,1,0
1,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744382000000,133346744383000000,1,0,0,0,0
2,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744433000000,133346744434000000,6,1,0,2,0
3,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744434000000,133346744435000000,4,0,0,1,1
4,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744532000000,133346744533000000,3,0,0,1,0
5,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744566000000,133346744567000000,1,0,0,0,0
6,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744682000000,133346744683000000,1,0,0,0,0
7,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346744832000000,133346744833000000,2,0,0,0,0
8,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346745199000000,133346745200000000,1,0,0,0,0
9,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346745272000000,133346745273000000,17,4,0,3,0
10,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346745793000000,133346745794000000,2,0,0,0,0
11,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,ApplicationFrameHost.exe,133346745942000000,133346745943000000,3,1,0,0,0
12,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,GameBar.exe,133346744746000000,133346744747000000,1153,257,10,36,1
13,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,GameBar.exe,133346744747000000,133346744748000000,9340,2137,72,252,52
14,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,GameBar.exe,133346744748000000,133346744749000000,10059,2868,47,157,34
15,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,GameBar.exe,133346744749000000,133346744750000000,687,146,5,23,6
16,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,Idle,133346744235000000,133346744236000000,11,7,0,7,6
17,Zeppelin-ec43a575b214238b3eea5905cbc06ebace0cc6a876c5dd2328148b349a5f03c8,Idle,133346744236000000,133346744237000000,78,16,2,25,0
