,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188204000000,133497188205000000,544,117,3,15,2
1,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188205000000,133497188206000000,1872,380,13,69,12
2,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188310000000,133497188311000000,296,61,4,15,4
3,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188311000000,133497188312000000,648,123,4,40,5
4,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188312000000,133497188313000000,56,12,0,4,1
5,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188313000000,133497188314000000,14,4,1,2,1
6,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188504000000,133497188505000000,1,0,0,0,0
7,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188527000000,133497188528000000,3,1,0,0,0
8,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188545000000,133497188546000000,3,1,0,0,0
9,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188560000000,133497188561000000,3,1,0,0,0
10,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188611000000,133497188612000000,3,0,0,0,0
11,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188613000000,133497188614000000,1,0,0,1,0
12,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188804000000,133497188805000000,1,0,0,0,0
13,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188838000000,133497188839000000,1,0,0,0,0
14,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497188955000000,133497188956000000,1,0,0,0,0
15,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497189472000000,133497189473000000,0,1,0,0,0
16,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497189544000000,133497189545000000,2,0,0,0,0
17,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497189545000000,133497189546000000,1,1,0,1,1
18,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497190065000000,133497190066000000,0,0,0,1,0
19,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497190215000000,133497190216000000,0,0,0,1,1
20,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,ApplicationFrameHost.exe,133497191205000000,133497191206000000,6,1,0,0,0
21,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,FileSyncConfig.exe,133497188040000000,133497188041000000,1482,311,10,31,7
22,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187983000000,133497187984000000,9,1,0,6,0
23,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187984000000,133497187985000000,16,4,0,7,0
24,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187985000000,133497187986000000,9,2,1,2,0
25,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187986000000,133497187987000000,16,3,0,5,0
26,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187987000000,133497187988000000,14,8,1,6,1
27,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187988000000,133497187989000000,28,4,1,3,0
28,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187989000000,133497187990000000,14,3,1,2,0
29,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187990000000,133497187991000000,0,0,0,2,0
30,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187991000000,133497187992000000,6,0,0,0,0
31,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187992000000,133497187993000000,4,0,0,0,0
32,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187993000000,133497187994000000,3,1,0,1,0
33,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187994000000,133497187995000000,8,1,0,2,0
34,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187995000000,133497187996000000,16,1,1,0,0
35,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187996000000,133497187997000000,8,1,0,3,0
36,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187997000000,133497187998000000,9,3,0,1,0
37,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187998000000,133497187999000000,17,4,0,1,1
38,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497187999000000,133497188000000000,38,10,1,5,0
39,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188000000000,133497188001000000,23,3,0,3,0
40,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188001000000,133497188002000000,32,4,0,4,0
41,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188002000000,133497188003000000,48,12,1,5,0
42,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188003000000,133497188004000000,2,1,0,0,1
43,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188004000000,133497188005000000,72,15,1,8,0
44,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188005000000,133497188006000000,40,9,1,7,1
45,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188006000000,133497188007000000,40,7,2,7,0
46,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188007000000,133497188008000000,39,8,0,6,0
47,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188008000000,133497188009000000,46,10,0,6,1
48,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188009000000,133497188010000000,43,6,0,5,0
49,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188010000000,133497188011000000,37,7,0,8,0
50,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188011000000,133497188012000000,34,8,2,7,0
51,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188012000000,133497188013000000,53,8,1,6,0
52,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188013000000,133497188014000000,151,32,2,14,0
53,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188014000000,133497188015000000,46,14,0,6,0
54,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188015000000,133497188016000000,49,8,2,6,0
55,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188016000000,133497188017000000,47,6,0,4,0
56,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188017000000,133497188018000000,42,11,2,9,0
57,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188018000000,133497188019000000,37,9,2,7,0
58,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188019000000,133497188020000000,50,10,0,7,0
59,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188020000000,133497188021000000,54,9,0,8,2
60,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188021000000,133497188022000000,49,9,0,7,0
61,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188022000000,133497188023000000,54,17,0,3,0
62,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188024000000,133497188025000000,74,14,0,1,0
63,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188025000000,133497188026000000,28,7,1,1,0
64,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188026000000,133497188027000000,62,6,1,4,0
65,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188027000000,133497188028000000,20,5,1,5,1
66,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188028000000,133497188029000000,2,2,0,0,0
67,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188029000000,133497188030000000,2,0,0,0,0
68,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188030000000,133497188031000000,5,0,0,0,0
69,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188031000000,133497188032000000,4,0,0,3,1
70,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188032000000,133497188033000000,14,1,0,0,0
71,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188033000000,133497188034000000,15,2,0,2,0
72,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188034000000,133497188035000000,37,11,0,5,0
73,a188e147ba147455ce5e3a6eb8ac1a46bdd58588de7af53d4ad542c6986491f4,Idle,133497188035000000,133497188036000000,60,18,0,6,0
