,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497701386000000,133497701387000000,627,129,5,18,3
1,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497701387000000,133497701388000000,1596,355,14,53,9
2,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497701388000000,133497701389000000,359,75,4,16,1
3,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497701688000000,133497701689000000,1,0,0,0,0
4,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497702020000000,133497702021000000,1,0,0,0,0
5,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497702654000000,133497702655000000,1,0,0,0,0
6,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497702727000000,133497702728000000,3,1,0,0,0
7,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703185000000,133497703186000000,14,3,0,1,0
8,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703186000000,133497703187000000,1145,234,9,48,9
9,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703187000000,133497703188000000,54,15,0,3,0
10,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703188000000,133497703189000000,17,4,1,3,0
11,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703486000000,133497703487000000,2,1,0,1,1
12,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703488000000,133497703489000000,1,1,0,0,0
13,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703786000000,133497703787000000,1,0,0,0,0
14,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,ApplicationFrameHost.exe,133497703922000000,133497703923000000,1,0,0,0,0
15,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701687000000,133497701688000000,10,2,0,1,0
16,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701688000000,133497701689000000,66,15,0,1,0
17,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701689000000,133497701690000000,226,45,2,4,3
18,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701690000000,133497701691000000,310,66,4,7,3
19,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701691000000,133497701692000000,442,95,3,10,2
20,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701692000000,133497701693000000,6,1,0,0,0
21,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701693000000,133497701694000000,246,51,1,6,1
22,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701694000000,133497701695000000,353,61,2,8,2
23,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701702000000,133497701703000000,648,159,3,16,3
24,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701705000000,133497701706000000,1,1,0,0,1
25,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701706000000,133497701707000000,14,4,0,1,1
26,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701708000000,133497701709000000,2,1,0,0,0
27,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701711000000,133497701712000000,270,56,2,7,0
28,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701713000000,133497701714000000,0,1,0,0,0
29,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701715000000,133497701716000000,73,15,1,3,1
30,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701716000000,133497701717000000,90,18,0,4,1
31,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701717000000,133497701718000000,243,53,1,5,1
32,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701718000000,133497701719000000,214,34,2,7,1
33,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701719000000,133497701720000000,35,5,0,0,1
34,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701720000000,133497701721000000,233,53,1,5,1
35,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701721000000,133497701722000000,268,43,1,14,1
36,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701722000000,133497701723000000,416,70,3,8,1
37,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701723000000,133497701724000000,27,3,0,1,1
38,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701724000000,133497701725000000,116,18,0,6,2
39,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701725000000,133497701726000000,6,1,0,0,0
40,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701729000000,133497701730000000,102,17,0,3,1
41,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701730000000,133497701731000000,428,69,0,16,1
42,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701731000000,133497701732000000,20,3,0,1,1
43,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701732000000,133497701733000000,143,27,1,8,0
44,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701733000000,133497701734000000,193,31,0,11,1
45,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701734000000,133497701735000000,282,43,1,16,0
46,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701735000000,133497701736000000,873,145,2,19,1
47,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701736000000,133497701737000000,47,10,0,5,0
48,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701737000000,133497701738000000,681,94,2,9,1
49,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701738000000,133497701739000000,333,58,1,2,1
50,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701742000000,133497701743000000,116,19,0,0,0
51,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701743000000,133497701744000000,469,71,0,2,1
52,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701744000000,133497701745000000,1019,150,3,8,2
53,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701745000000,133497701746000000,810,135,5,7,0
54,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701746000000,133497701747000000,784,121,1,7,1
55,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701747000000,133497701748000000,708,112,1,11,2
56,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701748000000,133497701749000000,4543,1029,7,16,5
57,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701749000000,133497701750000000,5496,1311,11,15,2
58,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701750000000,133497701751000000,5978,1397,9,15,5
59,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701751000000,133497701752000000,6956,1518,9,25,5
60,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701752000000,133497701753000000,6782,1494,8,17,4
61,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701753000000,133497701754000000,7079,1605,9,15,6
62,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701755000000,133497701756000000,1062,184,3,3,2
63,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701756000000,133497701757000000,6765,1634,9,12,4
64,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701757000000,133497701758000000,6352,1305,8,18,6
65,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701761000000,133497701762000000,5637,1119,6,14,3
66,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701762000000,133497701763000000,5449,1071,5,18,6
67,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701763000000,133497701764000000,7247,1527,8,24,5
68,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701764000000,133497701765000000,7042,1548,10,19,6
69,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701765000000,133497701766000000,8078,1715,8,20,6
70,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701766000000,133497701767000000,3165,647,3,9,2
71,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701768000000,133497701769000000,5568,1227,9,15,5
72,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701769000000,133497701770000000,483,106,2,17,3
73,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701770000000,133497701771000000,1490,323,4,13,3
74,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701771000000,133497701772000000,2403,457,22,13,4
75,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701772000000,133497701773000000,1188,209,6,13,2
76,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701773000000,133497701774000000,1257,253,9,29,11
77,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701774000000,133497701775000000,5099,1007,14,46,7
78,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701775000000,133497701776000000,2064,291,6,17,6
79,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701776000000,133497701777000000,2289,457,8,30,7
80,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701777000000,133497701778000000,1880,350,7,19,2
81,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701778000000,133497701779000000,6477,1211,18,40,14
82,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701779000000,133497701780000000,1040,116,1,11,1
83,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701780000000,133497701781000000,6320,906,19,43,10
84,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701781000000,133497701782000000,6527,1215,17,39,12
85,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701782000000,133497701783000000,4429,809,12,37,9
86,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701783000000,133497701784000000,6956,1247,19,50,11
87,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701784000000,133497701785000000,1449,265,4,14,5
88,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701785000000,133497701786000000,5132,1017,15,43,11
89,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701786000000,133497701787000000,5225,948,14,38,13
90,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701787000000,133497701788000000,6088,881,15,41,12
91,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701788000000,133497701789000000,7293,1246,16,44,13
92,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701789000000,133497701790000000,7230,1045,19,51,13
93,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701790000000,133497701791000000,7777,1304,23,41,12
94,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701791000000,133497701792000000,7327,913,18,50,11
95,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701792000000,133497701793000000,8715,1005,16,29,11
96,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701793000000,133497701794000000,1331,191,4,12,6
97,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701794000000,133497701795000000,5809,1121,22,46,12
98,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701795000000,133497701796000000,5293,827,12,31,12
99,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701796000000,133497701797000000,4066,792,15,39,10
100,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701797000000,133497701798000000,6177,1143,17,44,15
101,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701798000000,133497701799000000,5493,900,16,47,15
102,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701799000000,133497701800000000,6595,1185,21,42,13
103,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701800000000,133497701801000000,1158,265,4,17,5
104,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701801000000,133497701802000000,2929,561,15,26,8
105,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701802000000,133497701803000000,7142,1267,20,45,14
106,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701803000000,133497701804000000,3526,423,9,27,8
107,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701804000000,133497701805000000,8206,1366,20,58,17
108,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701805000000,133497701806000000,2442,509,6,10,4
109,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701806000000,133497701807000000,727,162,3,11,3
110,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701807000000,133497701808000000,6148,2051,2,3,0
111,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701808000000,133497701809000000,731,176,1,10,2
112,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701809000000,133497701810000000,3000,893,1,6,0
113,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701810000000,133497701811000000,1115,194,4,16,2
114,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701811000000,133497701812000000,122,26,1,3,0
115,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701812000000,133497701813000000,535,117,1,12,4
116,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701813000000,133497701814000000,895,166,2,13,5
117,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701814000000,133497701815000000,933,159,3,11,3
118,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701815000000,133497701816000000,5314,1075,16,33,10
119,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701816000000,133497701817000000,6836,1195,16,39,10
120,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701817000000,133497701818000000,6006,886,22,44,11
121,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701818000000,133497701819000000,6120,1173,15,36,13
122,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701819000000,133497701820000000,4363,810,14,46,11
123,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701820000000,133497701821000000,4701,965,16,32,9
124,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701821000000,133497701822000000,8526,2186,12,29,8
125,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701822000000,133497701823000000,9706,2636,17,32,8
126,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701823000000,133497701824000000,4189,774,11,30,14
127,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701824000000,133497701825000000,6550,1024,18,46,10
128,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701825000000,133497701826000000,7396,1151,19,41,12
129,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701826000000,133497701827000000,5563,936,16,41,14
130,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701827000000,133497701828000000,6488,1253,20,47,14
131,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701828000000,133497701829000000,947,188,3,9,3
132,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701829000000,133497701830000000,5147,756,17,39,10
133,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701830000000,133497701831000000,5727,1054,17,34,10
134,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701831000000,133497701832000000,3691,600,11,37,9
135,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701832000000,133497701833000000,4272,836,12,36,7
136,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701833000000,133497701834000000,6461,1184,17,42,11
137,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701834000000,133497701835000000,4730,797,14,31,9
138,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701835000000,133497701836000000,5708,1130,21,34,12
139,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701836000000,133497701837000000,3156,516,8,31,4
140,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701837000000,133497701838000000,6065,1113,17,44,10
141,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701838000000,133497701839000000,7396,1066,18,55,16
142,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701839000000,133497701840000000,6631,936,18,44,8
143,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701840000000,133497701841000000,7419,1112,19,48,17
144,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701841000000,133497701842000000,6064,963,17,50,14
145,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701842000000,133497701843000000,5971,1046,17,46,11
146,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701843000000,133497701844000000,4909,697,16,32,10
147,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701844000000,133497701845000000,6848,1149,18,40,10
148,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701845000000,133497701846000000,6894,1072,16,50,16
149,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701846000000,133497701847000000,5665,899,17,44,9
150,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701847000000,133497701848000000,2618,464,8,23,6
151,b227fa0485e34511627a8a4a7d3f1abb6231517be62d022916273b7a51b80a17,CompatTelRunner.exe,133497701848000000,133497701849000000,5552,878,14,42,12
