,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497716963000000,133497716964000000,256,55,3,7,1
1,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497716964000000,133497716965000000,2721,598,14,71,21
2,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717067000000,133497717068000000,926,180,10,38,10
3,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717068000000,133497717069000000,51,12,0,4,1
4,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717069000000,133497717070000000,15,5,0,1,0
5,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717212000000,133497717213000000,2,0,0,0,0
6,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717225000000,133497717226000000,3,1,0,0,0
7,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717233000000,133497717234000000,3,1,0,0,0
8,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717264000000,133497717265000000,1,0,0,0,1
9,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717367000000,133497717368000000,2,1,0,0,0
10,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717369000000,133497717370000000,1,0,0,0,0
11,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497717564000000,133497717565000000,1,0,0,0,0
12,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497718305000000,133497718306000000,6,0,0,1,1
13,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497718825000000,133497718826000000,1,0,0,1,1
14,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497718975000000,133497718976000000,1,1,0,1,0
15,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,ApplicationFrameHost.exe,133497719965000000,133497719966000000,6,0,0,0,0
16,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,CompatTelRunner.exe,133497717765000000,133497717766000000,58,13,0,1,1
17,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,CompatTelRunner.exe,133497717766000000,133497717767000000,190,38,3,5,0
18,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,CompatTelRunner.exe,133497717767000000,133497717768000000,820,170,4,20,4
19,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,CompatTelRunner.exe,133497717768000000,133497717769000000,612,127,4,22,6
20,bcdac1a2b67e2b47f8129814dca3bcf7d55404757eb09f1c3103f57da3153ec8,CompatTelRunner.exe,133497717774000000,133497717775000000,270,77,2,9,1
