,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,ApplicationFrameHost.exe,133343789943000000,133343789944000000,4,2,0,0,1
1,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,ApplicationFrameHost.exe,133343789945000000,133343789946000000,2,1,0,0,0
2,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,ApplicationFrameHost.exe,133343790219000000,133343790220000000,22,4,0,2,1
3,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789787000000,133343789788000000,33,179,0,0,0
4,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789788000000,133343789789000000,84,20,1,9,3
5,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789789000000,133343789790000000,53,14,1,7,1
6,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789790000000,133343789791000000,104,21,1,11,1
7,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789791000000,133343789792000000,83,20,0,9,1
8,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789792000000,133343789793000000,55,11,0,4,1
9,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789793000000,133343789794000000,51,12,0,7,0
10,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789794000000,133343789795000000,50,10,1,6,1
11,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789795000000,133343789796000000,41,9,1,8,3
12,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789796000000,133343789797000000,281,66,3,16,5
13,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789797000000,133343789798000000,43,11,0,9,2
14,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789798000000,133343789799000000,41,10,1,6,0
15,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789799000000,133343789800000000,41,9,0,10,0
16,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789800000000,133343789801000000,44,11,1,6,1
17,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789801000000,133343789802000000,55,14,0,9,2
18,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789802000000,133343789803000000,20,4,1,3,0
19,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789803000000,133343789804000000,19,4,0,4,2
20,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789804000000,133343789805000000,18,5,0,3,2
21,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789805000000,133343789806000000,71,14,1,9,4
22,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789806000000,133343789807000000,41,12,2,6,1
23,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789807000000,133343789808000000,45,10,2,9,1
24,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789808000000,133343789809000000,55,13,2,8,1
25,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789809000000,133343789810000000,56,12,0,6,0
26,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789810000000,133343789811000000,70,15,3,8,2
27,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789811000000,133343789812000000,117,24,2,17,4
28,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789812000000,133343789813000000,75,16,0,15,4
29,bianlian-1fd07b8d1728e416f897bef4f1471126f9b18ef108eb952f4b75050da22e8e43,Idle,133343789813000000,133343789814000000,60,13,3,7,2
