,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863126000000,133343863127000000,2,0,1,0,0
1,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863159000000,133343863160000000,1,1,0,0,0
2,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863192000000,133343863193000000,3,1,0,1,0
3,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863193000000,133343863194000000,1,0,0,0,0
4,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863195000000,133343863196000000,3,0,0,1,1
5,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863276000000,133343863277000000,1,1,0,1,0
6,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863499000000,133343863500000000,468,102,4,19,5
7,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863500000000,133343863501000000,4412,920,38,136,39
8,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863501000000,133343863502000000,1218,263,16,46,14
9,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863502000000,133343863503000000,1,0,0,0,0
10,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863504000000,133343863505000000,2,0,0,1,0
11,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863506000000,133343863507000000,28,7,0,3,2
12,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863508000000,133343863509000000,552,129,7,39,2
13,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863510000000,133343863511000000,151,28,3,8,2
14,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863511000000,133343863512000000,521,106,3,38,3
15,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863512000000,133343863513000000,65,15,3,8,0
16,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863513000000,133343863514000000,1189,256,14,71,18
17,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863514000000,133343863515000000,356,76,7,37,7
18,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863515000000,133343863516000000,594,121,7,39,11
19,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863516000000,133343863517000000,3032,602,39,231,19
20,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863517000000,133343863518000000,1254,262,26,136,8
21,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863518000000,133343863519000000,9,3,0,2,0
22,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863545000000,133343863546000000,45,7,0,9,5
23,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863546000000,133343863547000000,108,22,1,8,4
24,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863547000000,133343863548000000,29,8,1,8,3
25,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863549000000,133343863550000000,109,24,1,10,3
26,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863550000000,133343863551000000,1170,245,10,99,19
27,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863552000000,133343863553000000,694,149,8,41,10
28,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,ApplicationFrameHost.exe,133343863553000000,133343863554000000,33,9,0,4,1
29,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863025000000,133343863026000000,30,11,1,6,6
30,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863026000000,133343863027000000,134,31,3,30,1
31,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863027000000,133343863028000000,92,22,0,18,0
32,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863028000000,133343863029000000,53,10,1,13,6
33,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863029000000,133343863030000000,78,17,1,22,7
34,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863030000000,133343863031000000,51,9,3,15,6
35,bitman_4022483e73b04fad1ec569d7325f8cc8ed6a2a91e5b62f27319874aedcd675dc,Idle,133343863031000000,133343863032000000,16,4,0,3,2
