,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,HxTsr.exe,133343793696000000,133343793697000000,3751,876,18,66,5
1,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,HxTsr.exe,133343793697000000,133343793698000000,2222,607,17,59,11
2,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,HxTsr.exe,133343793698000000,133343793699000000,1221,268,17,34,8
3,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,HxTsr.exe,133343793699000000,133343793700000000,4840,1018,32,108,27
4,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,HxTsr.exe,133343793700000000,133343793701000000,3445,745,24,109,23
5,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793152000000,133343793153000000,35,10,0,7,6
6,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793153000000,133343793154000000,138,30,5,26,2
7,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793154000000,133343793155000000,84,25,4,24,2
8,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793155000000,133343793156000000,77,19,0,27,3
9,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793156000000,133343793157000000,82,20,2,20,2
10,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793157000000,133343793158000000,192,42,7,42,10
11,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793158000000,133343793159000000,375,96,13,63,4
12,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793159000000,133343793160000000,367,78,7,61,3
13,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793160000000,133343793161000000,187,43,7,41,1
14,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793161000000,133343793162000000,187,36,10,31,1
15,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793162000000,133343793163000000,203,42,4,37,5
16,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793163000000,133343793164000000,106,25,5,26,3
17,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793164000000,133343793165000000,99,16,0,14,2
18,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793165000000,133343793166000000,48,8,1,6,1
19,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793166000000,133343793167000000,99,19,2,8,4
20,bluesky-2280898cb29faf1785e782596d8029cb471537ec38352e5c17cc263f1f52b8ef,Idle,133343793167000000,133343793168000000,113,34,3,29,1
