,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739381000000,133497739382000000,1984,407,14,67,14
1,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739382000000,133497739383000000,433,88,6,19,2
2,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739489000000,133497739490000000,2,1,0,0,0
3,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739490000000,133497739491000000,953,188,8,48,10
4,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739491000000,133497739492000000,57,12,1,7,0
5,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739492000000,133497739493000000,14,4,0,1,0
6,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739681000000,133497739682000000,1,1,0,0,1
7,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739790000000,133497739791000000,1,1,0,0,0
8,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497739981000000,133497739982000000,1,0,0,0,1
9,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497740015000000,133497740016000000,1,0,0,0,0
10,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497740131000000,133497740132000000,1,0,0,0,0
11,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497740721000000,133497740722000000,3,1,0,2,1
12,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,ApplicationFrameHost.exe,133497741282000000,133497741283000000,0,1,0,0,0
13,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,FileSyncConfig.exe,133497737753000000,133497737754000000,1482,310,11,28,6
14,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737663000000,133497737664000000,5,0,0,2,0
15,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737664000000,133497737665000000,25,6,0,5,0
16,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737665000000,133497737666000000,24,5,3,9,0
17,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737666000000,133497737667000000,10,3,0,1,0
18,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737667000000,133497737668000000,16,4,0,2,0
19,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737668000000,133497737669000000,16,3,0,6,1
20,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,Idle,133497737669000000,133497737670000000,4,1,0,3,0
