,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743237000000,133497743238000000,18,4,0,1,0
1,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743238000000,133497743239000000,2852,605,22,85,17
2,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743538000000,133497743539000000,2,0,1,0,0
3,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743539000000,133497743540000000,2,0,0,0,0
4,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743658000000,133497743659000000,1,0,0,0,0
5,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743665000000,133497743666000000,1,0,0,0,0
6,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743672000000,133497743673000000,2,0,0,0,0
7,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743838000000,133497743839000000,1,2,0,0,0
8,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743871000000,133497743872000000,0,0,1,0,0
9,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497743976000000,133497743977000000,0,1,0,0,0
10,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497744578000000,133497744579000000,2,0,1,3,1
11,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497745099000000,133497745100000000,2,0,0,0,0
12,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,ApplicationFrameHost.exe,133497746238000000,133497746239000000,6,2,0,0,0
13,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,FileSyncConfig.exe,133497743665000000,133497743666000000,1468,309,9,35,3
14,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742809000000,133497742810000000,1,0,0,0,0
15,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742810000000,133497742811000000,3,1,0,1,1
16,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742811000000,133497742812000000,3,0,0,0,0
17,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742812000000,133497742813000000,5,5,0,4,0
18,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742813000000,133497742814000000,11,3,0,2,1
19,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742814000000,133497742815000000,5,0,0,0,0
20,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742815000000,133497742816000000,1,0,0,0,0
21,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742816000000,133497742817000000,6,1,0,3,0
22,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742817000000,133497742818000000,2,1,0,1,0
23,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742818000000,133497742819000000,7,2,0,0,0
24,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742819000000,133497742820000000,5,2,0,0,1
25,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742820000000,133497742821000000,2,3,0,1,0
26,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742821000000,133497742822000000,7,2,0,0,0
27,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742822000000,133497742823000000,9,1,0,1,0
28,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742823000000,133497742824000000,56,12,0,13,0
29,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742824000000,133497742825000000,20,3,0,4,1
30,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742825000000,133497742826000000,2,1,0,1,0
31,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742826000000,133497742827000000,1,1,0,0,0
32,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742827000000,133497742828000000,7,0,0,3,0
33,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742828000000,133497742829000000,4,0,0,0,0
34,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742829000000,133497742830000000,19,8,1,4,0
35,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742830000000,133497742831000000,6,0,0,2,0
36,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742831000000,133497742832000000,3,0,0,0,0
37,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742832000000,133497742833000000,3,0,1,1,0
38,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742833000000,133497742834000000,5,3,0,0,1
39,cb4af8d6d57163b0322bd033b36379f805bdb59ec550049ea568cc0a7dfe52cd,Idle,133497742834000000,133497742835000000,5,1,1,0,0
