,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864771000000,133343864772000000,1872,393,9,27,6
1,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864772000000,133343864773000000,358,87,4,10,2
2,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864773000000,133343864774000000,44,9,0,0,0
3,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864774000000,133343864775000000,1364,335,6,12,1
4,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864775000000,133343864776000000,3,0,0,1,0
5,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864776000000,133343864777000000,14,4,0,1,0
6,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864777000000,133343864778000000,642,146,4,11,3
7,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864778000000,133343864779000000,5,2,0,1,1
8,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864779000000,133343864780000000,373,81,2,4,3
9,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864780000000,133343864781000000,168,31,2,10,1
10,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864781000000,133343864782000000,1670,343,11,40,9
11,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864782000000,133343864783000000,1834,512,11,40,5
12,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864783000000,133343864784000000,529,118,3,15,2
13,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864784000000,133343864785000000,1223,262,9,39,9
14,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864785000000,133343864786000000,2437,603,13,36,8
15,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864786000000,133343864787000000,16,4,0,2,0
16,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864787000000,133343864788000000,1830,411,13,22,7
17,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864788000000,133343864789000000,329,76,3,8,4
18,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864789000000,133343864790000000,634,163,4,12,5
19,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864790000000,133343864791000000,1246,232,10,40,7
20,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864791000000,133343864792000000,1108,344,3,6,0
21,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864792000000,133343864793000000,78,17,1,5,2
22,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864793000000,133343864794000000,107,22,0,4,2
23,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864794000000,133343864795000000,61,13,0,5,0
24,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864795000000,133343864796000000,14,4,0,1,0
25,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,HxTsr.exe,133343864796000000,133343864797000000,293,67,4,15,4
26,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864481000000,133343864482000000,31,12,0,1,4
27,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864482000000,133343864483000000,65,10,2,16,0
28,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864483000000,133343864484000000,53,12,1,16,4
29,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864484000000,133343864485000000,41,11,2,12,2
30,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864485000000,133343864486000000,19,5,1,4,0
31,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864486000000,133343864487000000,13,2,0,3,2
32,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864487000000,133343864488000000,26,7,2,5,1
33,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864488000000,133343864489000000,34,6,1,9,2
34,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864489000000,133343864490000000,19,6,1,4,2
35,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864490000000,133343864491000000,10,2,0,3,1
36,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864491000000,133343864492000000,196,41,3,20,1
37,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864492000000,133343864493000000,274,69,5,12,3
38,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864493000000,133343864494000000,54,9,2,17,5
39,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864494000000,133343864495000000,43,10,1,13,2
40,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864495000000,133343864496000000,60,13,0,11,7
41,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864496000000,133343864497000000,27,8,0,10,1
42,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864497000000,133343864498000000,42,9,2,10,6
43,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864498000000,133343864499000000,26,6,0,8,2
44,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864499000000,133343864500000000,109,25,4,25,1
45,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864500000000,133343864501000000,129,24,5,31,1
46,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864501000000,133343864502000000,21,4,0,7,0
47,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864502000000,133343864503000000,109,31,6,37,2
48,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864503000000,133343864504000000,82,17,2,20,0
49,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864504000000,133343864505000000,9,1,1,3,2
50,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864505000000,133343864506000000,64,14,2,17,1
51,critroni_0f718f875bda8343658f8e7ae0054d9c84ed2de1cfa2e8a7ece80016de99a712,Idle,133343864506000000,133343864507000000,55,12,1,14,6
