,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766685000000,133497766686000000,670,139,6,18,4
1,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766686000000,133497766687000000,2003,446,18,68,11
2,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766775000000,133497766776000000,3,0,0,0,0
3,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766789000000,133497766790000000,968,183,13,41,12
4,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766791000000,133497766792000000,52,14,1,5,2
5,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766794000000,133497766795000000,15,2,0,2,0
6,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766795000000,133497766796000000,2,0,0,0,0
7,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766806000000,133497766807000000,3,1,0,0,0
8,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497766985000000,133497766986000000,1,0,0,0,0
9,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497767089000000,133497767090000000,3,0,0,1,0
10,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497767094000000,133497767095000000,1,0,0,0,0
11,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497767319000000,133497767320000000,0,0,0,0,1
12,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497768025000000,133497768026000000,2,2,0,2,0
13,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497768695000000,133497768696000000,2,0,0,3,1
14,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497768886000000,133497768887000000,1,0,0,1,0
15,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,ApplicationFrameHost.exe,133497769220000000,133497769221000000,1,0,0,0,0
16,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766828000000,133497766829000000,13,3,0,1,0
17,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766829000000,133497766830000000,2071,430,19,87,14
18,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766830000000,133497766831000000,60,13,0,0,0
19,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766831000000,133497766832000000,1608,338,8,43,7
20,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766832000000,133497766833000000,1564,324,6,34,7
21,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766833000000,133497766834000000,772,159,2,18,4
22,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766834000000,133497766835000000,194,40,1,5,1
23,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766835000000,133497766836000000,1824,281,8,23,7
24,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766836000000,133497766837000000,1103,200,8,29,2
25,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766837000000,133497766838000000,1702,356,20,50,9
26,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766838000000,133497766839000000,1578,249,8,28,7
27,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766839000000,133497766840000000,257,43,4,23,5
28,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766840000000,133497766841000000,301,44,2,17,5
29,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766841000000,133497766842000000,334,63,3,27,2
30,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766842000000,133497766843000000,439,61,5,12,6
31,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766843000000,133497766844000000,144,22,4,23,3
32,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766844000000,133497766845000000,1641,263,12,65,9
33,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766845000000,133497766846000000,1688,327,10,41,9
34,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766846000000,133497766847000000,663,116,2,26,3
35,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766847000000,133497766848000000,106,14,1,14,2
36,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766848000000,133497766849000000,106,25,3,11,2
37,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766849000000,133497766850000000,381,57,3,12,3
38,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766850000000,133497766851000000,61,9,0,7,3
39,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766851000000,133497766852000000,696,122,3,20,3
40,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766852000000,133497766853000000,123,28,1,11,2
41,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,BackgroundTransferHost.exe,133497766853000000,133497766854000000,1080,225,6,38,9
42,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,FileSyncConfig.exe,133497765889000000,133497765890000000,1501,311,10,32,6
43,d9f7bb98ad01c4775ec71ec66f5546de131735e6dba8122474cc6eb62320e47b,Idle,133497765772000000,133497765773000000,2,0,0,0,0
