,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811494000000,133497811495000000,863,188,4,18,6
1,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811495000000,133497811496000000,2193,503,23,90,8
2,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811496000000,133497811497000000,1061,217,11,55,2
3,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811497000000,133497811498000000,256,57,3,11,0
4,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811507000000,133497811508000000,3427,477,15,9,3
5,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811508000000,133497811509000000,5719,813,26,31,6
6,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811509000000,133497811510000000,3698,535,8,18,6
7,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811597000000,133497811598000000,1264,276,7,35,6
8,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811598000000,133497811599000000,1037,238,7,28,3
9,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811711000000,133497811712000000,2604,492,16,46,9
10,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811712000000,133497811713000000,1453,341,9,32,7
11,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811713000000,133497811714000000,478,100,4,14,1
12,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,@WanaDecryptor@.exe,133497811715000000,133497811716000000,0,1,0,0,0
