,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792425000000,133345792426000000,4256,1138,19,72,11
1,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792426000000,133345792427000000,954,199,8,33,4
2,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792427000000,133345792428000000,94,19,0,14,0
3,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792428000000,133345792429000000,2626,697,18,93,10
4,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792429000000,133345792430000000,824,185,9,38,2
5,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792430000000,133345792431000000,6260,1582,31,104,23
6,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792431000000,133345792432000000,2027,537,13,49,7
7,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792432000000,133345792433000000,298,64,4,33,10
8,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792433000000,133345792434000000,561,93,3,17,3
9,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792434000000,133345792435000000,257,49,2,11,3
10,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792435000000,133345792436000000,541,111,9,50,6
11,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792436000000,133345792437000000,356,74,3,26,3
12,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792437000000,133345792438000000,975,272,3,24,4
13,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792438000000,133345792439000000,1160,188,4,23,9
14,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,HxTsr.exe,133345792439000000,133345792440000000,316,55,2,13,5
15,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792130000000,133345792131000000,184,42,3,20,5
16,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792131000000,133345792132000000,299,68,4,34,5
17,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792132000000,133345792133000000,165,41,3,24,9
18,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792133000000,133345792134000000,159,37,5,28,2
19,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792134000000,133345792135000000,184,38,5,28,5
20,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792135000000,133345792136000000,90,23,1,14,3
21,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792136000000,133345792137000000,31,4,2,8,2
22,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792137000000,133345792138000000,88,15,1,22,1
23,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792138000000,133345792139000000,267,63,10,39,0
24,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792139000000,133345792140000000,84,19,2,23,1
25,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792140000000,133345792141000000,108,32,2,14,0
26,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792141000000,133345792142000000,149,29,5,17,3
27,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792142000000,133345792143000000,211,38,5,30,2
28,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792143000000,133345792144000000,177,40,6,31,1
29,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792144000000,133345792145000000,134,27,5,31,1
30,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792145000000,133345792146000000,145,37,6,36,4
31,pxj-9a4e4211f7e690ee4a520c491ef7766dcf1cc9859afa991e15538e92b435f3a1,Idle,133345792146000000,133345792147000000,167,33,1,28,2
