,Sample,Process,fromtime,totime,instructions,branchinstructions,branchmispredicts,llcreferences,llcmisses
0,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969095000000,133343969096000000,1235,274,9,24,5
1,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969096000000,133343969097000000,3833,852,41,101,24
2,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969097000000,133343969098000000,1960,420,16,62,21
3,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969098000000,133343969099000000,3481,845,18,54,19
4,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969099000000,133343969100000000,3166,653,30,123,30
5,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969100000000,133343969101000000,484,95,7,39,10
6,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969102000000,133343969103000000,2,1,0,0,0
7,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969103000000,133343969104000000,21,4,1,2,2
8,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969104000000,133343969105000000,472,106,9,30,1
9,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969105000000,133343969106000000,427,77,5,20,7
10,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969106000000,133343969107000000,341,61,4,18,6
11,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969107000000,133343969108000000,320,72,4,22,2
12,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969108000000,133343969109000000,1525,308,19,65,14
13,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969109000000,133343969110000000,282,57,6,22,4
14,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969110000000,133343969111000000,29,4,1,4,2
15,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969111000000,133343969112000000,2915,582,29,109,29
16,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969112000000,133343969113000000,3161,641,44,122,32
17,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969113000000,133343969114000000,9,2,0,1,1
18,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969246000000,133343969247000000,1,0,0,0,0
19,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969262000000,133343969263000000,4,1,1,1,0
20,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969396000000,133343969397000000,5,1,0,0,1
21,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969408000000,133343969409000000,10,3,0,3,1
22,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969410000000,133343969411000000,3,1,0,1,1
23,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969412000000,133343969413000000,4,0,0,2,0
24,teslacrypt_2a849026775792e7c66f5e6350db3ecedfa91c0e611a2b0b632fba554ea01097,ApplicationFrameHost.exe,133343969414000000,133343969415000000,1,0,0,1,0
